PeakID (cmd=annotatePeaks.pl ENCAB506UYG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_21415	chr6	5466846	5467280	+	0	NA	intron (FARS2, intron 4 of 6)	-intron (FARS2, intron 4 of 6)	-8755	LOC101927972	LOC101927972	NR_125848			LOC101927972			NA
Interval_26775	chr9	127085039	127085424	+	0	NA	intron (NEK6, intron 5 of 9)	-intron (NEK6, intron 6 of 10)	-30521	LOC100129034	LOC100129034	NR_027406			LOC100129034			NA
Interval_25371	chr8	74162701	74162995	+	0	NA	intron (C8orf89, intron 2 of 3)	-intron (C8orf89, intron 2 of 3)	8889	C8orf89	C8orf89	NM_001243237			C8orf89			NA
Interval_10613	chr17	28173352	28173723	+	0	NA	intron (SSH2, intron 1 of 14)	-intron (SSH2, intron 2 of 15)	83521	SSH2	SSH2	NM_001282129			SSH2			NA
Interval_2605	chr1	206628890	206629408	+	0	NA	exon (SRGAP2, exon 18 of 18)	-exon (SRGAP2, exon 18 of 18)	-14437	IKBKE	IKBKE	NM_001193321			IKBKE			NA
Interval_4495	chr11	5255702	5255947	+	0	NA	promoter-TSS (HBD)	-promoter-TSS (HBD)	34	HBD	HBD	NM_000519			HBD			NA
Interval_25778	chr8	125748201	125748507	+	0	NA	Intergenic	Intergenic	-7606	MTSS1	MTSS1	NM_014751			MTSS1			NA
Interval_14991	chr2	200897638	200897968	+	0	NA	Intergenic	Intergenic	-77344	TYW5	TYW5	NM_001039693			TYW5			NA
Interval_2589	chr1	205780501	205781224	+	0	NA	intron (SLC41A1, intron 1 of 10)	-intron (SLC41A1, intron 1 of 10)	1462	SLC41A1	SLC41A1	NM_173854			SLC41A1			NA
Interval_1002	chr1	52520464	52520728	+	0	NA	intron (TXNDC12, intron 1 of 2)	-intron (TXNDC12, intron 1 of 6)	1247	TXNDC12	TXNDC12	NM_015913			TXNDC12			NA
Interval_179	chr1	12235099	12236206	+	0	NA	intron (TNFRSF1B, intron 1 of 9)	-intron (TNFRSF1B, intron 1 of 9)	8592	TNFRSF1B	TNFRSF1B	NM_001066			TNFRSF1B			NA
Interval_25769	chr8	125648834	125649077	+	0	NA	intron (MTSS1, intron 3 of 13)	-intron (MTSS1, intron 3 of 14)	91793	MTSS1	MTSS1	NM_014751			MTSS1			NA
Interval_11053	chr17	48742172	48742576	+	0	NA	intron (ABCC3, intron 10 of 30)	-intron (ABCC3, intron 10 of 11)	30156	ABCC3	ABCC3	NM_003786			ABCC3			NA
Interval_12611	chr19	21323728	21324154	+	0	NA	promoter-TSS (ZNF431)	-promoter-TSS (ZNF431)	-899	ZNF431	ZNF431	NM_133473			ZNF431			NA
Interval_9516	chr16	11195644	11196419	+	0	NA	intron (CLEC16A, intron 18 of 22)	-intron (CLEC16A, intron 18 of 20)	154008	SOCS1	SOCS1	NM_003745			SOCS1			NA
Interval_18090	chr3	140314142	140314495	+	0	NA	Intergenic	Intergenic	-82548	TRIM42	TRIM42	NM_152616			TRIM42			NA
Interval_18096	chr3	141071324	141071918	+	0	NA	intron (ZBTB38, intron 1 of 7)	-intron (ZBTB38, intron 1 of 7)	28566	ZBTB38	ZBTB38	NM_001080412			ZBTB38			NA
Interval_2629	chr1	207258084	207258531	+	0	NA	Intergenic	Intergenic	-4321	C4BPB	C4BPB	NM_000716			C4BPB			NA
Interval_7381	chr13	28242194	28242419	+	0	NA	TTS (POLR1D)	-TTS (POLR1D)	46390	POLR1D	POLR1D	NM_152705			POLR1D			NA
Interval_27198	chrX	31341733	31342127	+	0	NA	intron (DMD, intron 18 of 30)	-intron (DMD, intron 61 of 78)	-251760	FTHL17	FTHL17	NM_031894			FTHL17			NA
Interval_13693	chr2	43281566	43281835	+	0	NA	Intergenic	Intergenic	-15018	LOC102723854	LOC102723854	NR_110585			LOC102723854			NA
Interval_14981	chr2	198862002	198862276	+	0	NA	intron (PLCL1, intron 1 of 5)	-intron (PLCL1, intron 1 of 5)	192713	PLCL1	PLCL1	NM_006226			PLCL1			NA
Interval_24885	chr8	11628193	11628518	+	0	NA	intron (NEIL2, intron 1 of 4)	-intron (NEIL2, intron 1 of 4)	1183	NEIL2	NEIL2	NM_145043			NEIL2			NA
Interval_11615	chr18	3595357	3595721	+	0	NA	intron (DLGAP1-AS1, intron 2 of 2)	-intron (DLGAP1, intron 4 of 9)	1427	DLGAP1-AS1	DLGAP1-AS1	NR_024101			DLGAP1-AS1			NA
Interval_12569	chr19	18485972	18486494	+	0	NA	Intergenic	Intergenic	-10735	GDF15	GDF15	NM_004864			GDF15			NA
Interval_19027	chr4	48631485	48631856	+	0	NA	intron (FRYL, intron 4 of 63)	-intron (FRYL, intron 4 of 63)	139401	ZAR1	ZAR1	NM_175619			ZAR1			NA
Interval_11845	chr18	43732993	43733742	+	0	NA	Intergenic	Intergenic	-20621	C18orf25	C18orf25	NM_001008239			C18orf25			NA
Interval_22056	chr6	37008532	37008904	+	0	NA	Intergenic	Intergenic	35295	FGD2	FGD2	NM_173558			FGD2			NA
Interval_6957	chr12	110517218	110517726	+	0	NA	Intergenic	Intergenic	-11972	C12orf76	C12orf76	NM_207435			C12orf76			NA
Interval_20926	chr5	139598464	139598787	+	0	NA	intron (CYSTM1, intron 2 of 2)	-intron (CYSTM1, intron 2 of 2)	43972	CYSTM1	CYSTM1	NM_032412			CYSTM1			NA
Interval_25885	chr8	131674625	131675128	+	0	NA	Intergenic	Intergenic	-218970	ASAP1	ASAP1	NM_001247996			ASAP1			NA
Interval_13156	chr19	54640995	54641415	+	0	NA	promoter-TSS (CNOT3)	-promoter-TSS (CNOT3)	-231	CNOT3	CNOT3	NM_014516			CNOT3			NA
Interval_8725	chr15	49150606	49151118	+	0	NA	intron (SHC4, intron 6 of 11)	-intron (SHC4, intron 6 of 11)	-19428	EID1	EID1	NM_014335			EID1			NA
Interval_25861	chr8	130587716	130588020	+	0	NA	promoter-TSS (CCDC26)	-promoter-TSS (CCDC26)	-604	CCDC26	CCDC26	NR_130917			CCDC26			NA
Interval_624	chr1	31926593	31926818	+	0	NA	Intergenic	Intergenic	40742	SERINC2	SERINC2	NM_001199037			SERINC2			NA
Interval_13166	chr19	55236061	55236681	+	0	NA	intron (KIR3DL3, intron 1 of 7)	-intron (KIR3DL3, intron 1 of 7)	419	KIR3DL3	KIR3DL3	NM_153443			KIR3DL3			NA
Interval_25298	chr8	61560534	61561021	+	0	NA	Intergenic	Intergenic	-30547	CHD7	CHD7	NM_017780			CHD7			NA
Interval_9698	chr16	25917134	25917469	+	0	NA	intron (HS3ST4, intron 1 of 1)	-intron (HS3ST4, intron 1 of 1)	213954	HS3ST4	HS3ST4	NM_006040			HS3ST4			NA
Interval_18750	chr4	1595882	1596129	+	0	NA	Intergenic	Intergenic	89849	FAM53A	FAM53A	NM_001174070			FAM53A			NA
Interval_9206	chr15	85553684	85553907	+	0	NA	intron (PDE8A, intron 1 of 20)	-intron (PDE8A, intron 1 of 21)	28590	PDE8A	PDE8A	NM_173454			PDE8A			NA
Interval_21221	chr5	173280379	173281097	+	0	NA	Intergenic	Intergenic	-34593	CPEB4	CPEB4	NM_001308189			CPEB4			NA
Interval_12044	chr18	77018336	77018847	+	0	NA	intron (ATP9B, intron 12 of 29)	-intron (ATP9B, intron 12 of 28)	-137181	NFATC1	NFATC1	NM_172387			NFATC1			NA
