PeakID (cmd=annotatePeaks.pl ENCAB606JHO.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_13446	chr6	45404599	45404896	+	0	NA	intron (RUNX2, intron 2 of 5)	-intron (RUNX2, intron 4 of 7)	-58959	SUPT3H	SUPT3H	NM_181356			SUPT3H			NA
Interval_5415	chr15	88155697	88155976	+	0	NA	Intergenic	Intergenic	35676	LINC00052	LINC00052	NR_026869			LINC00052			NA
Interval_14162	chr7	34869919	34870293	+	0	NA	intron (NPSR1, intron 5 of 8)	-intron (NPSR1, intron 5 of 8)	-72222	NPSR1-AS1	NPSR1-AS1	NR_015356			NPSR1-AS1			NA
Interval_11085	chr3	138581450	138582866	+	0	NA	Intergenic	Intergenic	80704	LINC01391	LINC01391	NR_121649			LINC01391			NA
Interval_4481	chr13	52768356	52768811	+	0	NA	promoter-TSS (MRPS31P5)	-promoter-TSS (MRPS31P5)	19	MRPS31P5	MRPS31P5	NR_051963			MRPS31P5			NA
Interval_3672	chr12	47687315	47687716	+	0	NA	Intergenic	Intergenic	70537	MIR4494	MIR4494	NR_039715			MIR4494			NA
Interval_4229	chr12	120755109	120755407	+	0	NA	Intergenic	Intergenic	10334	PLA2G1B	PLA2G1B	NM_000928			PLA2G1B			NA
Interval_4091	chr12	104953609	104953868	+	0	NA	intron (CHST11, intron 1 of 2)	-intron (CHST11, intron 1 of 2)	-31673	MIR3922	MIR3922	NR_037487			MIR3922			NA
Interval_6311	chr17	17942473	17942783	+	0	NA	promoter-TSS (GID4)	-promoter-TSS (GID4)	17	GID4	GID4	NM_024052			GID4			NA
Interval_15041	chr8	37724604	37724851	+	0	NA	intron (RAB11FIP1, intron 4 of 4)	-intron (RAB11FIP1, intron 5 of 5)	-17296	BRF2	BRF2	NM_018310			BRF2			NA
Interval_13095	chr6	28105306	28105688	+	0	NA	promoter-TSS (ZSCAN16-AS1)	-promoter-TSS (ZSCAN16-AS1)	-403	ZSCAN16-AS1	ZSCAN16-AS1	NR_103455			ZSCAN16-AS1			NA
Interval_9020	chr2	114082104	114082390	+	0	NA	Intergenic	Intergenic	-45749	PAX8	PAX8	NM_013992			PAX8			NA
Interval_7777	chr19	24269776	24270454	+	0	NA	exon (ZNF254, exon 1 of 5)	-exon (ZNF254, exon 1 of 5)	153	ZNF254	ZNF254	NM_203282			ZNF254			NA
Interval_13320	chr6	36409067	36409684	+	0	NA	intron (PXT1, intron 1 of 4)	-intron (PXT1, intron 1 of 4)	-1169	KCTD20	KCTD20	NM_001286580			KCTD20			NA
Interval_15767	chr9	101337793	101338172	+	0	NA	intron (GABBR2, intron 2 of 18)	-intron (GABBR2, intron 2 of 18)	133497	GABBR2	GABBR2	NM_005458			GABBR2			NA
Interval_11197	chr3	159540303	159540649	+	0	NA	intron (SCHIP1, intron 2 of 7)	-intron (SCHIP1, intron 2 of 7)	-54075	IQCJ-SCHIP1-AS1	IQCJ-SCHIP1-AS1	NR_121669			IQCJ-SCHIP1-AS1			NA
Interval_1417	chr1	173683768	173684509	+	0	NA	promoter-TSS (KLHL20)	-promoter-TSS (KLHL20)	58	KLHL20	KLHL20	NM_014458			KLHL20			NA
Interval_16098	chrX	16900280	16900655	+	0	NA	Intergenic	Intergenic	-11933	RBBP7	RBBP7	NM_002893			RBBP7			NA
Interval_9067	chr2	128848329	128848902	+	0	NA	promoter-TSS (UGGT1)	-promoter-TSS (UGGT1)	-167	UGGT1	UGGT1	NM_020120			UGGT1			NA
Interval_969	chr1	112879713	112879999	+	0	NA	Intergenic	Intergenic	-58944	CTTNBP2NL	CTTNBP2NL	NM_018704			CTTNBP2NL			NA
Interval_1784	chr1	234738615	234738963	+	0	NA	Intergenic	Intergenic	6482	IRF2BP2	IRF2BP2	NM_001077397			IRF2BP2			NA
Interval_3050	chr11	65625519	65626081	+	0	NA	promoter-TSS (CFL1)	-promoter-TSS (CFL1)	4	CFL1	CFL1	NM_005507			CFL1			NA
Interval_14789	chr7	139676579	139677328	+	0	NA	intron (TBXAS1, intron 9 of 12)	-intron (TBXAS1, intron 9 of 12)	86568	PARP12	PARP12	NM_022750			PARP12			NA
Interval_10860	chr3	57582893	57583685	+	0	NA	promoter-TSS (ARF4)	-promoter-TSS (ARF4)	-74	ARF4	ARF4	NM_001660			ARF4			NA
Interval_9695	chr20	31220567	31220925	+	0	NA	exon (C20orf203, exon 5 of 5)	-exon (C20orf203, exon 5 of 5)	19037	C20orf203	C20orf203	NM_182584			C20orf203			NA
Interval_2152	chr10	49394397	49394663	+	0	NA	intron (FRMPD2, intron 17 of 28)	-intron (FRMPD2, intron 17 of 28)	-11290	FRMPD2B	FRMPD2B	NR_033172_1			FRMPD2B			NA
Interval_3349	chr11	112096620	112097154	+	0	NA	promoter-TSS (PTS)	-promoter-TSS (PTS)	-201	PTS	PTS	NM_000317			PTS			NA
Interval_12422	chr5	126088971	126089230	+	0	NA	Intergenic	Intergenic	-23215	LMNB1	LMNB1	NM_001198557			LMNB1			NA
Interval_6119	chr16	86591966	86592352	+	0	NA	Intergenic	Intergenic	3233	FLJ30679	FLJ30679	NR_026674			FLJ30679			NA
Interval_5010	chr14	105957150	105957503	+	0	NA	promoter-TSS (C14orf80)	-promoter-TSS (C14orf80)	1134	C14orf80	C14orf80	NM_001134875			C14orf80			NA
Interval_3219	chr11	82719028	82719354	+	0	NA	intron (RAB30, intron 1 of 4)	-intron (RAB30, intron 1 of 4)	33449	SNORA70E	SNORA70E	NR_033347			SNORA70E			NA
Interval_7041	chr18	666836	667148	+	0	NA	intron (TYMS, intron 3 of 6)	-intron (TYMS, intron 3 of 6)	-8652	TYMSOS	TYMSOS	NM_001012716			TYMSOS			NA
Interval_12128	chr5	40829874	40830114	+	0	NA	promoter-TSS (LOC100506548)	-promoter-TSS (LOC100506548)	-750	LOC100506548	LOC100506548	NR_037665			LOC100506548			NA
