PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2483	chr10	92946829	92947348	+	0	NA	intron (PCGF5, intron 1 of 2)	-intron (PCGF5, intron 1 of 9)	24319	PCGF5	PCGF5	NM_001256549			PCGF5			NA
Interval_7206	chr17	27070878	27071096	+	0	NA	promoter-TSS (TRAF4)	-promoter-TSS (TRAF4)	-36	TRAF4	TRAF4	NM_004295			TRAF4			NA
Interval_5862	chr15	43443784	43444336	+	0	NA	exon (TMEM62, exon 8 of 14)	-exon (TMEM62, exon 8 of 14)	18338	TMEM62	TMEM62	NM_024956			TMEM62			NA
Interval_15662	chr7	2449517	2449790	+	0	NA	intron (CHST12, intron 1 of 1)	-intron (CHST12, intron 1 of 1)	6458	CHST12	CHST12	NM_001243795			CHST12			NA
Interval_16546	chr8	19181996	19182279	+	0	NA	intron (SH2D4A, intron 2 of 9)	-intron (SH2D4A, intron 2 of 9)	11056	SH2D4A	SH2D4A	NM_022071			SH2D4A			NA
Interval_8810	chr2	8394237	8394650	+	0	NA	intron (LINC00299, intron 7 of 8)	-intron (LINC00299, intron 7 of 8)	74106	LINC00299	LINC00299	NR_034135			LINC00299			NA
Interval_17082	chr8	125591819	125592092	+	0	NA	intron (MTSS1, intron 6 of 13)	-intron (MTSS1, intron 7 of 14)	40612	NDUFB9	NDUFB9	NM_001278645			NDUFB9			NA
Interval_5304	chr14	61750757	61751128	+	0	NA	Intergenic	Intergenic	-2412	TMEM30B	TMEM30B	NM_001017970			TMEM30B			NA
Interval_5962	chr15	58866861	58867135	+	0	NA	Intergenic	Intergenic	-76064	LOC101928694	LOC101928694	NR_120338			LOC101928694			NA
Interval_7140	chr17	15394111	15394360	+	0	NA	intron (TVP23C-CDRT4, intron 4 of 5)	-intron (TVP23C-CDRT4, intron 5 of 6)	-23310	CDRT4	CDRT4	NM_001204477			CDRT4			NA
Interval_7499	chr17	55871992	55872555	+	0	NA	Intergenic	Intergenic	-49583	CCDC182	CCDC182	NM_001282544			CCDC182			NA
Interval_10485	chr20	30945708	30945969	+	0	NA	promoter-TSS (ASXL1)	-promoter-TSS (ASXL1)	-309	ASXL1	ASXL1	NM_015338			ASXL1			NA
Interval_6388	chr15	101746114	101746688	+	0	NA	intron (CHSY1, intron 2 of 2)	-intron (CHSY1, intron 2 of 2)	45736	CHSY1	CHSY1	NM_014918			CHSY1			NA
Interval_7041	chr17	3616102	3616539	+	0	NA	Intergenic	Intergenic	-10877	GSG2	GSG2	NM_031965			GSG2			NA
Interval_2646	chr10	115954773	115955100	+	0	NA	intron (TDRD1, intron 3 of 25)	-intron (TDRD1, intron 3 of 25)	15907	TDRD1	TDRD1	NM_198795			TDRD1			NA
Interval_2359	chr10	75817898	75818227	+	0	NA	intron (VCL, intron 2 of 21)	-intron (VCL, intron 2 of 20)	60190	VCL	VCL	NM_003373			VCL			NA
