PeakID (cmd=annotatePeaks.pl ENCAB000BLK.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_674	chr1	37498465	37498861	+	0	NA	intron (GRIK3, intron 1 of 15)	-intron (GRIK3, intron 1 of 15)	1181	GRIK3	GRIK3	NM_000831			GRIK3			NA
Interval_15288	chr5	96518592	96519943	+	0	NA	promoter-TSS (RIOK2)	-promoter-TSS (RIOK2)	-262	RIOK2	RIOK2	NM_018343			RIOK2			NA
Interval_8316	chr17	55037892	55038465	+	0	NA	exon (COIL, exon 1 of 7)	-exon (COIL, exon 1 of 7)	233	COIL	COIL	NM_004645			COIL			NA
Interval_5815	chr14	104387295	104388267	+	0	NA	intron (C14orf2, intron 1 of 4)	-intron (C14orf2, intron 1 of 4)	122	C14orf2	C14orf2	NM_001127393			C14orf2			NA
Interval_10624	chr2	9453596	9454069	+	0	NA	intron (ASAP2, intron 3 of 27)	-intron (ASAP2, intron 3 of 26)	106938	ASAP2	ASAP2	NM_003887			ASAP2			NA
Interval_19286	chr9	132586240	132586637	+	0	NA	promoter-TSS (TOR1A)	-promoter-TSS (TOR1A)	3	TOR1A	TOR1A	NM_000113			TOR1A			NA
Interval_1845	chr1	213562737	213563054	+	0	NA	Intergenic	Intergenic	338320	RPS6KC1	RPS6KC1	NM_001287218			RPS6KC1			NA
Interval_1367	chr1	154946070	154946455	+	0	NA	promoter-TSS (CKS1B)	-promoter-TSS (CKS1B)	-856	CKS1B	CKS1B	NM_001826			CKS1B			NA
Interval_5875	chr15	23811047	23811646	+	0	NA	exon (MKRN3, exon 1 of 1)	-exon (MKRN3, exon 1 of 1)	892	MKRN3	MKRN3	NM_005664			MKRN3			NA
Interval_5043	chr13	31444186	31444959	+	0	NA	Intergenic	Intergenic	-12127	LINC00545	LINC00545	NR_103813			LINC00545			NA
Interval_12177	chr20	42086134	42087193	+	0	NA	exon (SRSF6, exon 1 of 6)	-exon (SRSF6, exon 1 of 6)	159	SRSF6	SRSF6	NM_006275			SRSF6			NA
Interval_18567	chr8	143718156	143718716	+	0	NA	Intergenic	Intergenic	-22603	ARC	ARC	NM_015193			ARC			NA
Interval_7604	chr17	4685736	4686461	+	0	NA	intron (TM4SF5, intron 3 of 4)	-intron (TM4SF5, intron 3 of 4)	3631	VMO1	VMO1	NM_001144939			VMO1			NA
Interval_3652	chr11	72336789	72337737	+	0	NA	intron (PDE2A, intron 2 of 30)	-intron (PDE2A, intron 1 of 29)	-11089	MIR139	MIR139	NR_029603			MIR139			NA
Interval_1564	chr1	177150750	177151276	+	0	NA	intron (BRINP2, intron 1 of 7)	-intron (BRINP2, intron 1 of 7)	10489	BRINP2	BRINP2	NM_021165			BRINP2			NA
Interval_10258	chr19	48948966	48949427	+	0	NA	exon (GRWD1, exon 1 of 7)	-exon (GRWD1, exon 1 of 7)	166	GRWD1	GRWD1	NM_031485			GRWD1			NA
