PeakID (cmd=annotatePeaks.pl ENCAB000AIL.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_14050	chr9	21995283	21995548	+	0	NA	promoter-TSS (CDKN2A)	-promoter-TSS (CDKN2A)	625	CDKN2B-AS1	CDKN2B-AS1	NR_047536			CDKN2B-AS1			NA
Interval_5612	chr17	2415029	2415294	+	0	NA	promoter-TSS (METTL16)	-promoter-TSS (METTL16)	39	METTL16	METTL16	NM_024086			METTL16			NA
Interval_8036	chr2	24565121	24565255	+	0	NA	intron (ITSN2, intron 1 of 29)	-intron (ITSN2, intron 1 of 39)	18209	ITSN2	ITSN2	NM_147152			ITSN2			NA
Interval_13581	chr8	41998216	41998394	+	0	NA	Intergenic	Intergenic	-12159	AP3M2	AP3M2	NM_001134296			AP3M2			NA
Interval_12256	chr6	36091639	36091814	+	0	NA	Intergenic	Intergenic	-6535	MAPK13	MAPK13	NM_002754			MAPK13			NA
Interval_13907	chr8	144416936	144417057	+	0	NA	promoter-TSS (TOP1MT)	-promoter-TSS (TOP1MT)	65	TOP1MT	TOP1MT	NM_001258447			TOP1MT			NA
Interval_11257	chr4	185570513	185570657	+	0	NA	promoter-TSS (PRIMPOL)	-promoter-TSS (PRIMPOL)	44	CASP3	CASP3	NM_032991			CASP3			NA
Interval_644	chr1	76189845	76190017	+	0	NA	promoter-TSS (ACADM)	-promoter-TSS (ACADM)	-101	ACADM	ACADM	NM_000016			ACADM			NA
Interval_10342	chr3	52188306	52188534	+	0	NA	exon (POC1A, exon 1 of 10)	-exon (POC1A, exon 1 of 10)	286	POC1A	POC1A	NM_001161580			POC1A			NA
Interval_184	chr1	15575669	15575791	+	0	NA	intron (FHAD1, intron 1 of 30)	-intron (FHAD1, intron 1 of 30)	1962	FHAD1	FHAD1	NM_052929			FHAD1			NA
Interval_8107	chr2	33701526	33701758	+	0	NA	exon (RASGRP3, exon 1 of 18)	-exon (RASGRP3, exon 1 of 18)	40226	RASGRP3	RASGRP3	NM_001139488			RASGRP3			NA
Interval_11678	chr5	137795066	137795277	+	0	NA	Intergenic	Intergenic	-6010	EGR1	EGR1	NM_001964			EGR1			NA
Interval_2334	chr11	64099222	64099447	+	0	NA	Intergenic	Intergenic	-8356	CCDC88B	CCDC88B	NM_032251			CCDC88B			NA
Interval_8076	chr2	27632295	27632765	+	0	NA	promoter-TSS (PPM1G)	-promoter-TSS (PPM1G)	20	PPM1G	PPM1G	NM_177983			PPM1G			NA
Interval_13097	chr7	94285630	94285748	+	0	NA	promoter-TSS (PEG10)	-promoter-TSS (PEG10)	52	PEG10	PEG10	NM_015068			PEG10			NA
Interval_11254	chr4	185305617	185305777	+	0	NA	Intergenic	Intergenic	-2237	LOC102723766	LOC102723766	NR_125933			LOC102723766			NA
Interval_12423	chr6	74230815	74231041	+	0	NA	promoter-TSS (EEF1A1)	-promoter-TSS (EEF1A1)	-173	EEF1A1	EEF1A1	NM_001402			EEF1A1			NA
Interval_6042	chr17	40440404	40440582	+	0	NA	exon (STAT5A, exon 1 of 19)	-exon (STAT5A, exon 1 of 19)	928	STAT5A	STAT5A	NM_001288718			STAT5A			NA
Interval_5891	chr17	28257236	28257392	+	0	NA	promoter-TSS (SSH2)	-promoter-TSS (SSH2)	-256	SSH2	SSH2	NM_001282129			SSH2			NA
Interval_14782	chrX	105727706	105727824	+	0	NA	Intergenic	Intergenic	-127395	CXorf57	CXorf57	NM_018015			CXorf57			NA
Interval_11016	chr4	75024142	75024350	+	0	NA	intron (MTHFD2L, intron 1 of 7)	-intron (MTHFD2L, intron 1 of 7)	417	MTHFD2L	MTHFD2L	NM_001144978			MTHFD2L			NA
Interval_3120	chr12	68634778	68634966	+	0	NA	Intergenic	Intergenic	12409	IL22	IL22	NM_020525			IL22			NA
Interval_5145	chr16	30381758	30381943	+	0	NA	promoter-TSS (TBC1D10B)	-promoter-TSS (TBC1D10B)	-328	TBC1D10B	TBC1D10B	NM_015527			TBC1D10B			NA
Interval_774	chr1	115300171	115300335	+	0	NA	intron (CSDE1, intron 1 of 18)	-intron (CSDE1, intron 1 of 19)	418	CSDE1	CSDE1	NM_001007553			CSDE1			NA
Interval_13804	chr8	119124063	119124191	+	0	NA	promoter-TSS (EXT1)	-promoter-TSS (EXT1)	-69	EXT1	EXT1	NM_000127			EXT1			NA
Interval_2723	chr11	124632105	124632243	+	0	NA	promoter-TSS (ESAM)	-promoter-TSS (ESAM)	49	ESAM	ESAM	NM_138961			ESAM			NA
Interval_11702	chr5	139125831	139126133	+	0	NA	promoter-TSS (LOC101929696)	-promoter-TSS (LOC101929696)	-174	LOC101929696	LOC101929696	NR_105053			LOC101929696			NA
Interval_11644	chr5	133747496	133747737	+	0	NA	promoter-TSS (CDKN2AIPNL)	-promoter-TSS (CDKN2AIPNL)	-18	CDKN2AIPNL	CDKN2AIPNL	NM_080656			CDKN2AIPNL			NA
Interval_5053	chr16	22203634	22203864	+	0	NA	Intergenic	Intergenic	-13843	EEF2K	EEF2K	NM_013302			EEF2K			NA
Interval_1997	chr10	134350692	134350836	+	0	NA	promoter-TSS (INPP5A)	-promoter-TSS (INPP5A)	-589	INPP5A	INPP5A	NM_005539			INPP5A			NA
Interval_11560	chr5	110428396	110428539	+	0	NA	intron (WDR36, intron 1 of 22)	-intron (WDR36, intron 1 of 22)	597	WDR36	WDR36	NM_139281			WDR36			NA
Interval_2512	chr11	72463370	72463567	+	0	NA	promoter-TSS (ARAP1)	-promoter-TSS (ARAP1)	-30065	ARAP1	ARAP1	NM_001040118			ARAP1			NA
Interval_9097	chr20	26188758	26189160	+	0	NA	promoter-TSS (MIR663A)	-promoter-TSS (MIR663A)	-45	MIR663A	MIR663A	NR_030386			MIR663A			NA
Interval_8100	chr2	32264829	32265102	+	0	NA	promoter-TSS (DPY30)	-promoter-TSS (DPY30)	-121	DPY30	DPY30	NM_032574			DPY30			NA
Interval_10805	chr3	197024942	197025124	+	0	NA	promoter-TSS (DLG1-AS1)	-promoter-TSS (DLG1-AS1)	-85	DLG1-AS1	DLG1-AS1	NR_038289			DLG1-AS1			NA
Interval_5764	chr17	12332528	12332674	+	0	NA	Intergenic	Intergenic	-120684	LINC00670	LINC00670	NR_034145			LINC00670			NA
Interval_12396	chr6	53516776	53517012	+	0	NA	exon (KLHL31, exon 3 of 3)	-exon (KLHL31, exon 3 of 3)	13612	KLHL31	KLHL31	NM_001003760			KLHL31			NA
Interval_7064	chr19	10111033	10111181	+	0	NA	intron (COL5A3, intron 8 of 66)	-intron (COL5A3, intron 8 of 66)	10040	COL5A3	COL5A3	NM_015719			COL5A3			NA
Interval_2373	chr11	65308017	65308136	+	0	NA	exon (LTBP3, exon 22 of 28)	-exon (LTBP3, exon 22 of 28)	15528	SCYL1	SCYL1	NM_001048218			SCYL1			NA
Interval_13701	chr8	87520323	87520535	+	0	NA	intron (RMDN1, intron 1 of 9)	-intron (RMDN1, intron 1 of 8)	580	RMDN1	RMDN1	NM_016033			RMDN1			NA
Interval_4747	chr15	99320256	99320382	+	0	NA	intron (IGF1R, intron 2 of 20)	-intron (IGF1R, intron 2 of 20)	-7336	MIR4714	MIR4714	NR_039864			MIR4714			NA
Interval_12591	chr6	139600968	139601131	+	0	NA	intron (TXLNB, intron 2 of 9)	-intron (TXLNB, intron 2 of 9)	12159	TXLNB	TXLNB	NM_153235			TXLNB			NA
Interval_10650	chr3	156271840	156271958	+	0	NA	promoter-TSS (SSR3)	-promoter-TSS (SSR3)	1090	SSR3	SSR3	NM_007107			SSR3			NA
Interval_6852	chr19	1857121	1857340	+	0	NA	intron (KLF16, intron 1 of 1)	-intron (KLF16, intron 1 of 1)	6334	KLF16	KLF16	NM_031918			KLF16			NA
Interval_4536	chr15	65579002	65579268	+	0	NA	promoter-TSS (PARP16)	-promoter-TSS (PARP16)	-117	PARP16	PARP16	NM_017851			PARP16			NA
Interval_2275	chr11	61560273	61560479	+	0	NA	promoter-TSS (TMEM258)	-promoter-TSS (TMEM258)	267	FEN1	FEN1	NM_004111			FEN1			NA
Interval_13173	chr7	101499973	101500299	+	0	NA	intron (CUX1, intron 1 of 23)	-intron (CUX1, intron 1 of 23)	39254	CUX1	CUX1	NM_001913			CUX1			NA
