PeakID (cmd=annotatePeaks.pl PRDM1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1101	chr2	199236558	199237340	+	0	NA	intron (LOC101927619, intron 2 of 2)	-intron (LOC101927619, intron 2 of 2)	2872	LOC101927619	LOC101927619	NR_110267			LOC101927619			NA
Interval_1845	chr9	71769881	71770579	+	0	NA	intron (TJP2, intron 2 of 21)	-intron (TJP2, intron 2 of 21)	-18741	TJP2	TJP2	NM_001170416			TJP2			NA
Interval_843	chr18	12921174	12921502	+	0	NA	Intergenic	Intergenic	-26645	SEH1L	SEH1L	NM_001013437			SEH1L			NA
Interval_746	chr17	20445190	20445464	+	0	NA	Intergenic	Intergenic	-37516	KRT16P3	KRT16P3	NR_029393			KRT16P3			NA
Interval_1724	chr7	138811425	138811955	+	0	NA	Intergenic	Intergenic	-6800	TTC26	TTC26	NM_001144923			TTC26			NA
Interval_45	chr1	36108891	36109576	+	0	NA	Intergenic	Intergenic	-1788	PSMB2	PSMB2	NM_002794			PSMB2			NA
Interval_958	chr19	50352302	50352585	+	0	NA	intron (PTOV1-AS1, intron 1 of 3)	-intron (PTOV1-AS1, intron 1 of 3)	-1549	PTOV1	PTOV1	NM_001305105			PTOV1			NA
Interval_1548	chr6	28242584	28242874	+	0	NA	intron (ZSCAN26, intron 3 of 3)	-intron (ZSCAN26, intron 3 of 3)	-6585	PGBD1	PGBD1	NM_032507			PGBD1			NA
Interval_619	chr15	52389475	52389796	+	0	NA	Intergenic	Intergenic	15337	BCL2L10	BCL2L10	NM_020396			BCL2L10			NA
Interval_1705	chr7	121080989	121081552	+	0	NA	Intergenic	Intergenic	-44848	FAM3C	FAM3C	NM_001040020			FAM3C			NA
Interval_1390	chr4	40175268	40175547	+	0	NA	Intergenic	Intergenic	-23120	RHOH	RHOH	NM_001278368			RHOH			NA
Interval_1836	chr9	35002683	35002989	+	0	NA	Intergenic	Intergenic	13198	DNAJB5	DNAJB5	NM_001135004			DNAJB5			NA
Interval_1359	chr3	187619143	187619565	+	0	NA	Intergenic	Intergenic	-155841	BCL6	BCL6	NM_001706			BCL6			NA
