PeakID (cmd=annotatePeaks.pl anti-GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_8938	chr3	46143737	46144011	+	0	NA	Intergenic	Intergenic	-74895	XCR1	XCR1	NM_005283			XCR1			NA
Interval_7600	chr2	201238835	201238999	+	0	NA	intron (SPATS2L, intron 2 of 11)	-intron (SPATS2L, intron 2 of 12)	68313	SPATS2L	SPATS2L	NM_001282744			SPATS2L			NA
Interval_4629	chr15	54552480	54552662	+	0	NA	intron (UNC13C, intron 6 of 30)	-intron (UNC13C, intron 6 of 30)	247470	UNC13C	UNC13C	NM_001080534			UNC13C			NA
Interval_1561	chr10	26737867	26738046	+	0	NA	intron (APBB1IP, intron 2 of 14)	-intron (APBB1IP, intron 2 of 14)	10690	APBB1IP	APBB1IP	NM_019043			APBB1IP			NA
Interval_11262	chr5	168014045	168014203	+	0	NA	Intergenic	Intergenic	-7510	PANK3	PANK3	NM_024594			PANK3			NA
Interval_2744	chr11	133655673	133656048	+	0	NA	intron (LOC646522, intron 2 of 2)	-intron (LOC646522, intron 2 of 2)	24411	LOC646522	LOC646522	NR_120444			LOC646522			NA
Interval_12794	chr7	119686560	119686742	+	0	NA	Intergenic	Intergenic	-139222	LVCAT5	LVCAT5	NR_131961			LVCAT5			NA
Interval_10090	chr4	99370186	99370382	+	0	NA	Intergenic	Intergenic	187757	RAP1GDS1	RAP1GDS1	NM_001100427			RAP1GDS1			NA
Interval_1563	chr10	26761721	26762021	+	0	NA	intron (APBB1IP, intron 2 of 14)	-intron (APBB1IP, intron 2 of 14)	34605	APBB1IP	APBB1IP	NM_019043			APBB1IP			NA
Interval_6867	chr2	60332747	60333063	+	0	NA	Intergenic	Intergenic	281675	MIR4432	MIR4432	NR_039631			MIR4432			NA
Interval_12692	chr7	92269261	92269492	+	0	NA	intron (CDK6, intron 5 of 7)	-intron (CDK6, intron 5 of 7)	-49668	FAM133B	FAM133B	NM_152789			FAM133B			NA
Interval_13905	chr9	78919174	78919333	+	0	NA	intron (PCSK5, intron 27 of 36)	-intron (PCSK5, intron 27 of 36)	90191	RFK	RFK	NM_018339			RFK			NA
Interval_2709	chr11	128249610	128249843	+	0	NA	Intergenic	Intergenic	142479	ETS1	ETS1	NM_001143820			ETS1			NA
