PeakID (cmd=annotatePeaks.pl POU5F1_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
POU5F1_IP_R1_peak_34	chr11	65266779	65267250	+	893	NA	exon (MALAT1, exon 1 of 1)	-exon (MALAT1, exon 1 of 1)	1781	MALAT1	MALAT1	NR_002819			MALAT1			NA
POU5F1_IP_R1_peak_157	chr6	31137993	31138405	+	385	NA	exon (POU5F1, exon 1 of 5)	-exon (POU5F1, exon 1 of 5)	-3252	POU5F1	POU5F1	NM_002701			POU5F1			NA
POU5F1_IP_R1_peak_158	chr6	31785418	31785719	+	324	NA	exon (HSPA1A, exon 1 of 1)	-exon (HSPA1A, exon 1 of 1)	2277	HSPA1A	HSPA1A	NM_005345_1			HSPA1A			NA
POU5F1_IP_R1_peak_198	chr9	135894830	135896014	+	300	NA	Intergenic	Intergenic	-10640	GTF3C5	GTF3C5	NM_012087			GTF3C5			NA
POU5F1_IP_R1_peak_156	chr6	31132375	31133049	+	259	NA	TTS (TCF19)	-TTS (TCF19)	2235	POU5F1	POU5F1	NM_002701			POU5F1			NA
POU5F1_IP_R1_peak_190	chr8	128428549	128429056	+	236	NA	exon (POU5F1B, exon 1 of 1)	-exon (POU5F1B, exon 1 of 1)	945	POU5F1B	POU5F1B	NM_001159542			POU5F1B			NA
POU5F1_IP_R1_peak_26	chr10	98510082	98510675	+	214	NA	Intergenic	Intergenic	-30099	PIK3AP1	PIK3AP1	NM_152309			PIK3AP1			NA
POU5F1_IP_R1_peak_37	chr12	6646748	6647436	+	201	NA	exon (GAPDH, exon 7 of 8)	-exon (GAPDH, exon 7 of 8)	3521	GAPDH	GAPDH	NM_001289746			GAPDH			NA
POU5F1_IP_R1_peak_38	chr12	8286692	8287140	+	195	NA	exon (POU5F1P3, exon 1 of 1)	-exon (POU5F1P3, exon 1 of 1)	532	POU5F1P3	POU5F1P3	NR_036440			POU5F1P3			NA
POU5F1_IP_R1_peak_55	chr14	20811250	20811764	+	175	NA	promoter-TSS (PARP2)	-promoter-TSS (PARP2)	63	RPPH1	RPPH1	NR_002312			RPPH1			NA
POU5F1_IP_R1_peak_62	chr14	99439146	99439594	+	150	NA	Intergenic	Intergenic	261420	C14orf177	C14orf177	NM_182560			C14orf177			NA
POU5F1_IP_R1_peak_83	chr19	3981942	3982374	+	84	NA	TTS (SNORD37)	-TTS (SNORD37)	412	SNORD37	SNORD37	NR_002602			SNORD37			NA
POU5F1_IP_R1_peak_71	chr17	46536013	46536335	+	71	NA	intron (LOC101927166, intron 5 of 5)	-intron (LOC101927166, intron 5 of 5)	13979	LOC101927166	LOC101927166	NR_110804			LOC101927166			NA
POU5F1_IP_R1_peak_81	chr19	3976405	3976746	+	71	NA	exon (EEF2, exon 15 of 15)	-exon (EEF2, exon 15 of 15)	-5454	DAPK3	DAPK3	NM_001348			DAPK3			NA
POU5F1_IP_R1_peak_12	chr1	161191460	161192217	+	71	NA	TTS (APOA2)	-TTS (APOA2)	1580	APOA2	APOA2	NM_001643			APOA2			NA
POU5F1_IP_R1_peak_90	chr2	16085668	16085999	+	66	NA	exon (MYCN, exon 3 of 3)	-exon (MYCN, exon 3 of 3)	-3988	MYCNOS	MYCNOS	NR_026766			MYCNOS			NA
POU5F1_IP_R1_peak_149	chr5	135382095	135382675	+	57	NA	intron (TGFBI, intron 4 of 16)	-intron (TGFBI, intron 4 of 16)	17801	TGFBI	TGFBI	NM_000358			TGFBI			NA
POU5F1_IP_R1_peak_11	chr1	155403434	155403891	+	57	NA	exon (POU5F1P4, exon 1 of 1)	-exon (POU5F1P4, exon 1 of 1)	691	POU5F1P4	POU5F1P4	NR_034180			POU5F1P4			NA
POU5F1_IP_R1_peak_162	chr6	73322221	73322932	+	53	NA	Intergenic	Intergenic	-8995	KCNQ5	KCNQ5	NM_019842			KCNQ5			NA
POU5F1_IP_R1_peak_160	chr6	56407235	56407669	+	48	NA	intron (DST, intron 52 of 93)	-intron (DST, intron 55 of 96)	207686	RNU6-71P	RNU6-71P	NR_046940			RNU6-71P			NA
POU5F1_IP_R1_peak_169	chr7	5566813	5568303	+	48	NA	intron (ACTB, intron 5 of 5)	-intron (ACTB, intron 5 of 5)	2674	ACTB	ACTB	NM_001101			ACTB			NA
POU5F1_IP_R1_peak_141	chr5	56089966	56090415	+	44	NA	Intergenic	Intergenic	-20710	MAP3K1	MAP3K1	NM_005921			MAP3K1			NA
POU5F1_IP_R1_peak_82	chr19	3979946	3980708	+	44	NA	intron (EEF2, intron 9 of 14)	-intron (EEF2, intron 9 of 14)	2243	SNORD37	SNORD37	NR_002602			SNORD37			NA
POU5F1_IP_R1_peak_3	chr1	11977153	11977533	+	44	NA	Intergenic	Intergenic	9142	KIAA2013	KIAA2013	NM_138346			KIAA2013			NA
POU5F1_IP_R1_peak_170	chr7	26509519	26509841	+	44	NA	intron (LOC441204, intron 1 of 4)	-intron (LOC441204, intron 1 of 4)	66572	LOC441204	LOC441204	NR_015364			LOC441204			NA
POU5F1_IP_R1_peak_104	chr2	224034976	224035347	+	44	NA	Intergenic	Intergenic	118513	KCNE4	KCNE4	NM_080671			KCNE4			NA
POU5F1_IP_R1_peak_152	chr5	168043619	168044077	+	43	NA	Intergenic	Intergenic	-37234	PANK3	PANK3	NM_024594			PANK3			NA
POU5F1_IP_R1_peak_14	chr1	172107494	172107837	+	43	NA	promoter-TSS (MIR3120)	-promoter-TSS (MIR3120)	-283	MIR3120	MIR3120	NR_036066			MIR3120			NA
POU5F1_IP_R1_peak_194	chr9	72225919	72226220	+	43	NA	intron (APBA1, intron 1 of 12)	-intron (APBA1, intron 1 of 12)	61206	APBA1	APBA1	NM_001163			APBA1			NA
POU5F1_IP_R1_peak_122	chr3	191858516	191858940	+	43	NA	exon (FGF12, exon 6 of 6)	-exon (FGF12, exon 6 of 6)	-97691	FGF12-AS1	FGF12-AS1	NR_046596			FGF12-AS1			NA
POU5F1_IP_R1_peak_23	chr10	17271441	17271774	+	42	NA	exon (VIM, exon 2 of 10)	-exon (VIM, exon 2 of 10)	377	VIM-AS1	VIM-AS1	NR_108061			VIM-AS1			NA
POU5F1_IP_R1_peak_44	chr12	63666724	63667234	+	42	NA	Intergenic	Intergenic	-120389	AVPR1A	AVPR1A	NM_000706			AVPR1A			NA
POU5F1_IP_R1_peak_43	chr12	44647795	44648133	+	41	NA	intron (TMEM117, intron 5 of 7)	-intron (TMEM117, intron 5 of 6)	418300	TMEM117	TMEM117	NM_001286213			TMEM117			NA
POU5F1_IP_R1_peak_136	chr4	189066603	189066954	+	41	NA	intron (TRIML1, intron 5 of 5)	-intron (TRIML1, intron 5 of 5)	6180	TRIML1	TRIML1	NM_178556			TRIML1			NA
POU5F1_IP_R1_peak_24	chr10	34590747	34591443	+	41	NA	intron (PARD3, intron 20 of 24)	-intron (PARD3, intron 20 of 24)	513158	PARD3	PARD3	NM_019619			PARD3			NA
POU5F1_IP_R1_peak_19	chr1	214129482	214129914	+	39	NA	intron (PROX1-AS1, intron 2 of 5)	-intron (PROX1-AS1, intron 2 of 5)	29798	PROX1-AS1	PROX1-AS1	NR_037850			PROX1-AS1			NA
POU5F1_IP_R1_peak_4	chr1	41415192	41415756	+	37	NA	Intergenic	Intergenic	-29497	CTPS1	CTPS1	NM_001301237			CTPS1			NA
POU5F1_IP_R1_peak_132	chr4	166345278	166345637	+	37	NA	intron (CPE, intron 1 of 8)	-intron (CPE, intron 1 of 8)	38063	MIR578	MIR578	NR_030304			MIR578			NA
POU5F1_IP_R1_peak_154	chr6	21939427	21939912	+	36	NA	intron (CASC15, intron 5 of 11)	-intron (CASC15, intron 5 of 11)	207753	NBAT1	NBAT1	NR_034143			NBAT1			NA
POU5F1_IP_R1_peak_161	chr6	71251957	71252453	+	35	NA	intron (FAM135A, intron 19 of 20)	-intron (FAM135A, intron 20 of 21)	-24420	SDHAF4	SDHAF4	NM_145267			SDHAF4			NA
POU5F1_IP_R1_peak_60	chr14	85841961	85842476	+	30	NA	Intergenic	Intergenic	-18041	LINC00911	LINC00911	NR_102737			LINC00911			NA
POU5F1_IP_R1_peak_92	chr2	28796915	28797261	+	30	NA	intron (PLB1, intron 21 of 57)	-intron (PLB1, intron 21 of 56)	78150	PLB1	PLB1	NM_153021			PLB1			NA
POU5F1_IP_R1_peak_68	chr17	37178096	37178441	+	30	NA	Intergenic	Intergenic	-7891	LRRC37A11P	LRRC37A11P	NR_033753			LRRC37A11P			NA
POU5F1_IP_R1_peak_175	chr7	84833664	84834075	+	30	NA	Intergenic	Intergenic	-82622	SEMA3D	SEMA3D	NM_152754			SEMA3D			NA
POU5F1_IP_R1_peak_188	chr8	103470781	103471115	+	30	NA	Intergenic	Intergenic	-46031	UBR5	UBR5	NM_015902			UBR5			NA
