PeakID (cmd=annotatePeaks.pl ENCAB000BDY.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2758	chr3	183353301	183353448	+	0	NA	promoter-TSS (KLHL24)	-promoter-TSS (KLHL24)	-37	KLHL24	KLHL24	NM_017644			KLHL24			NA
Interval_784	chr11	82997005	82997175	+	0	NA	exon (CCDC90B, exon 1 of 9)	-exon (CCDC90B, exon 1 of 9)	360	CCDC90B	CCDC90B	NM_001286116			CCDC90B			NA
Interval_271	chr1	109419523	109419658	+	0	NA	promoter-TSS (GPSM2)	-promoter-TSS (GPSM2)	-13	GPSM2	GPSM2	NM_013296			GPSM2			NA
Interval_899	chr12	64845780	64845918	+	0	NA	promoter-TSS (TBK1)	-promoter-TSS (TBK1)	9	TBK1	TBK1	NM_013254			TBK1			NA
Interval_3356	chr7	112090828	112091084	+	0	NA	intron (IFRD1, intron 1 of 11)	-intron (IFRD1, intron 2 of 12)	393	IFRD1	IFRD1	NM_001007245			IFRD1			NA
Interval_2025	chr19	48707176	48707325	+	0	NA	Intergenic	Intergenic	33301	C19orf68	C19orf68	NM_199341			C19orf68			NA
Interval_3618	chr9	130922532	130922749	+	0	NA	exon (C9orf16, exon 1 of 2)	-exon (C9orf16, exon 1 of 2)	101	C9orf16	C9orf16	NM_024112			C9orf16			NA
Interval_1076	chr15	40987129	40987332	+	0	NA	promoter-TSS (RAD51)	-promoter-TSS (RAD51)	73	RAD51-AS1	RAD51-AS1	NR_040058			RAD51-AS1			NA
Interval_2348	chr20	1373784	1373970	+	0	NA	promoter-TSS (FKBP1A)	-promoter-TSS (FKBP1A)	-61	FKBP1A-SDCBP2	FKBP1A-SDCBP2	NR_037661			FKBP1A-SDCBP2			NA
Interval_2735	chr3	142720260	142720438	+	0	NA	promoter-TSS (U2SURP)	-promoter-TSS (U2SURP)	-23	U2SURP	U2SURP	NM_001080415			U2SURP			NA
Interval_2546	chr22	20307462	20307682	+	0	NA	promoter-TSS (DGCR6L)	-promoter-TSS (DGCR6L)	56	DGCR6L	DGCR6L	NM_033257			DGCR6L			NA
Interval_2133	chr19	58144445	58144579	+	0	NA	promoter-TSS (ZNF211)	-promoter-TSS (ZNF211)	-23	ZNF211	ZNF211	NM_001265597			ZNF211			NA
Interval_1502	chr17	37824696	37824911	+	0	NA	promoter-TSS (PNMT)	-promoter-TSS (PNMT)	569	PNMT	PNMT	NM_002686			PNMT			NA
Interval_2960	chr5	153418406	153418581	+	0	NA	promoter-TSS (MFAP3)	-promoter-TSS (MFAP3)	4	FAM114A2	FAM114A2	NM_018691			FAM114A2			NA
Interval_2144	chr19	58962850	58963022	+	0	NA	promoter-TSS (ZNF324B)	-promoter-TSS (ZNF324B)	-35	ZNF324B	ZNF324B	NM_207395			ZNF324B			NA
Interval_3726	chrX	119737622	119737946	+	0	NA	promoter-TSS (MCTS1)	-promoter-TSS (MCTS1)	40	MCTS1	MCTS1	NM_014060			MCTS1			NA
Interval_942	chr12	121790159	121790431	+	0	NA	promoter-TSS (ANAPC5)	-promoter-TSS (ANAPC5)	-30	ANAPC5	ANAPC5	NM_001137559			ANAPC5			NA
Interval_593	chr10	103113534	103113871	+	0	NA	promoter-TSS (BTRC)	-promoter-TSS (BTRC)	-88	BTRC	BTRC	NM_003939			BTRC			NA
