PeakID (cmd=annotatePeaks.pl GATA3.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1931	chr5	72501154	72501353	+	0	NA	Intergenic	Intergenic	32230	TMEM174	TMEM174	NM_153217			TMEM174			NA
Interval_2087	chr6	52402187	52402352	+	0	NA	intron (TRAM2, intron 1 of 10)	-intron (TRAM2, intron 1 of 10)	39593	TRAM2	TRAM2	NM_012288			TRAM2			NA
Interval_293	chr10	44847717	44847967	+	0	NA	Intergenic	Intergenic	32703	CXCL12	CXCL12	NM_199168			CXCL12			NA
Interval_154	chr1	156147974	156148441	+	0	NA	TTS (SEMA4A)	-TTS (SEMA4A)	-15516	SLC25A44	SLC25A44	NM_014655			SLC25A44			NA
Interval_2276	chr8	10634771	10635075	+	0	NA	intron (PINX1, intron 5 of 5)	-intron (PINX1, intron 5 of 5)	-46839	SOX7	SOX7	NM_031439			SOX7			NA
Interval_1408	chr20	20998448	20998629	+	0	NA	Intergenic	Intergenic	-108086	KIZ	KIZ	NM_001276389			KIZ			NA
Interval_2355	chr8	107807486	107807685	+	0	NA	Intergenic	Intergenic	-25113	ABRA	ABRA	NM_139166			ABRA			NA
Interval_1760	chr3	194875727	194875942	+	0	NA	intron (XXYLT1, intron 3 of 3)	-intron (XXYLT1, intron 3 of 3)	7234	XXYLT1-AS2	XXYLT1-AS2	NR_102711			XXYLT1-AS2			NA
Interval_2430	chr9	93799593	93799784	+	0	NA	Intergenic	Intergenic	37726	LOC100129316	LOC100129316	NR_033912			LOC100129316			NA
Interval_750	chr14	66313930	66314168	+	0	NA	Intergenic	Intergenic	376229	MIR625	MIR625	NR_030355			MIR625			NA
Interval_536	chr12	10220685	10220836	+	0	NA	Intergenic	Intergenic	30904	CLEC1A	CLEC1A	NM_016511			CLEC1A			NA
Interval_1036	chr17	63309260	63309411	+	0	NA	Intergenic	Intergenic	-144324	CRAT40	CRAT40	NR_131984			CRAT40			NA
Interval_226	chr1	229277449	229277807	+	0	NA	Intergenic	Intergenic	32920	MIR4454	MIR4454	NR_039659_3			MIR4454			NA
Interval_570	chr12	51777293	51777644	+	0	NA	intron (GALNT6, intron 2 of 11)	-intron (GALNT6, intron 2 of 11)	7732	GALNT6	GALNT6	NM_007210			GALNT6			NA
Interval_1828	chr4	82179111	82179326	+	0	NA	Intergenic	Intergenic	-42947	PRKG2	PRKG2	NM_001282485			PRKG2			NA
Interval_1096	chr18	29629948	29630148	+	0	NA	intron (RNF125, intron 4 of 5)	-intron (RNF125, intron 4 of 5)	31603	RNF125	RNF125	NM_017831			RNF125			NA
Interval_360	chr10	116018140	116018292	+	0	NA	intron (VWA2, intron 4 of 13)	-intron (VWA2, intron 4 of 13)	19203	VWA2	VWA2	NM_001272046			VWA2			NA
Interval_259	chr10	12307922	12308117	+	0	NA	Intergenic	Intergenic	-69876	NUDT5	NUDT5	NM_014142			NUDT5			NA
Interval_967	chr17	26913007	26913330	+	0	NA	exon (SPAG5, exon 6 of 24)	-exon (SPAG5, exon 6 of 24)	-9217	ALDOC	ALDOC	NM_005165			ALDOC			NA
Interval_848	chr15	79229567	79229739	+	0	NA	intron (CTSH, intron 3 of 11)	-intron (CTSH, intron 3 of 11)	7767	CTSH	CTSH	NM_004390			CTSH			NA
Interval_1963	chr5	131332427	131332699	+	0	NA	intron (ACSL6, intron 1 of 20)	-intron (ACSL6, intron 1 of 20)	14792	ACSL6	ACSL6	NM_001205250			ACSL6			NA
Interval_565	chr12	50156701	50156946	+	0	NA	exon (TMBIM6, exon 10 of 10)	-exon (TMBIM6, exon 10 of 10)	21530	TMBIM6	TMBIM6	NM_003217			TMBIM6			NA
Interval_133	chr1	115605388	115605688	+	0	NA	intron (TSPAN2, intron 2 of 7)	-intron (TSPAN2, intron 2 of 6)	26583	TSPAN2	TSPAN2	NM_001308316			TSPAN2			NA
Interval_703	chr13	79179004	79179349	+	0	NA	intron (RNF219-AS1, intron 3 of 5)	-intron (RNF219-AS1, intron 3 of 5)	-1481	POU4F1	POU4F1	NM_006237			POU4F1			NA
Interval_1838	chr4	90784741	90784959	+	0	NA	Intergenic	Intergenic	-26723	SNCA	SNCA	NM_001146055			SNCA			NA
Interval_2124	chr6	147092190	147092396	+	0	NA	intron (ADGB, intron 29 of 35)	-intron (ADGB, intron 29 of 35)	32667	KATNBL1P6	KATNBL1P6	NR_003954			KATNBL1P6			NA
Interval_316	chr10	73610981	73611136	+	0	NA	promoter-TSS (PSAP)	-promoter-TSS (PSAP)	24	PSAP	PSAP	NM_002778			PSAP			NA
Interval_1763	chr3	194886674	194886886	+	0	NA	intron (XXYLT1, intron 2 of 3)	-intron (XXYLT1, intron 2 of 3)	18180	XXYLT1-AS2	XXYLT1-AS2	NR_102711			XXYLT1-AS2			NA
Interval_2331	chr8	75412688	75412840	+	0	NA	Intergenic	Intergenic	-48014	MIR5681A	MIR5681A	NR_049860			MIR5681A			NA
Interval_1508	chr22	19407287	19407627	+	0	NA	intron (HIRA, intron 1 of 24)	-intron (HIRA, intron 1 of 24)	11762	HIRA	HIRA	NM_003325			HIRA			NA
Interval_1751	chr3	193923666	193923817	+	0	NA	intron (LOC100505920, intron 1 of 2)	-intron (LOC100505920, intron 1 of 2)	355	LOC100505920	LOC100505920	NR_125403			LOC100505920			NA
Interval_545	chr12	19728817	19729052	+	0	NA	Intergenic	Intergenic	136326	AEBP2	AEBP2	NM_001267043			AEBP2			NA
Interval_2278	chr8	16404965	16405116	+	0	NA	Intergenic	Intergenic	-354740	MSR1	MSR1	NM_138715			MSR1			NA
Interval_1504	chr21	46300849	46301000	+	0	NA	Intergenic	Intergenic	-7106	PTTG1IP	PTTG1IP	NM_001286822			PTTG1IP			NA
Interval_156	chr1	159880199	159880470	+	0	NA	Intergenic	Intergenic	-10428	CFAP45	CFAP45	NM_012337			CFAP45			NA
Interval_1221	chr2	23542925	23543241	+	0	NA	Intergenic	Intergenic	-65215	KLHL29	KLHL29	NM_052920			KLHL29			NA
Interval_781	chr14	98664767	98665090	+	0	NA	Intergenic	Intergenic	-220467	LINC01550	LINC01550	NR_015430			LINC01550			NA
Interval_1075	chr17	76875679	76876043	+	0	NA	intron (TIMP2, intron 1 of 4)	-intron (TIMP2, intron 1 of 4)	23438	CEP295NL	CEP295NL	NM_001243540			CEP295NL			NA
Interval_92	chr1	61514604	61514863	+	0	NA	Intergenic	Intergenic	-33247	NFIA	NFIA	NM_005595			NFIA			NA
Interval_1122	chr18	76702302	76702453	+	0	NA	Intergenic	Intergenic	-37898	SALL3	SALL3	NM_171999			SALL3			NA
Interval_1610	chr3	47367852	47368063	+	0	NA	intron (KLHL18, intron 3 of 9)	-intron (KLHL18, intron 3 of 9)	-43620	KIF9	KIF9	NM_001134878			KIF9			NA
Interval_1603	chr3	45913331	45913645	+	0	NA	intron (LZTFL1, intron 2 of 9)	-intron (LZTFL1, intron 2 of 11)	-14508	CCR9	CCR9	NM_031200			CCR9			NA
Interval_1962	chr5	130725677	130725843	+	0	NA	intron (CDC42SE2, intron 4 of 5)	-intron (CDC42SE2, intron 3 of 4)	126058	CDC42SE2	CDC42SE2	NM_020240			CDC42SE2			NA
Interval_1385	chr20	3632976	3633251	+	0	NA	Intergenic	Intergenic	10933	GFRA4	GFRA4	NM_145762			GFRA4			NA
Interval_628	chr12	113699747	113699922	+	0	NA	intron (TPCN1, intron 3 of 27)	-intron (TPCN1, intron 4 of 28)	-29494	MIR6762	MIR6762	NR_106820			MIR6762			NA
Interval_1896	chr4	185775941	185776106	+	0	NA	Intergenic	Intergenic	-3759	MIR3945	MIR3945	NR_037510			MIR3945			NA
Interval_1744	chr3	187704489	187704640	+	0	NA	Intergenic	Intergenic	167312	LPP-AS2	LPP-AS2	NR_036497			LPP-AS2			NA
Interval_800	chr15	29156475	29156686	+	0	NA	Intergenic	Intergenic	-57260	APBA2	APBA2	NM_005503			APBA2			NA
Interval_1035	chr17	63168008	63168223	+	0	NA	intron (RGS9, intron 8 of 18)	-intron (RGS9, intron 8 of 18)	34659	RGS9	RGS9	NM_001081955			RGS9			NA
Interval_1065	chr17	75959719	75959878	+	0	NA	Intergenic	Intergenic	-40520	TNRC6C	TNRC6C	NM_018996			TNRC6C			NA
Interval_1857	chr4	109853222	109853388	+	0	NA	intron (COL25A1, intron 7 of 35)	-intron (COL25A1, intron 9 of 31)	-169070	ETNPPL	ETNPPL	NM_001146590			ETNPPL			NA
Interval_1461	chr20	61282646	61282893	+	0	NA	intron (SLCO4A1, intron 1 of 11)	-intron (SLCO4A1, intron 1 of 11)	8972	SLCO4A1	SLCO4A1	NM_016354			SLCO4A1			NA
Interval_2012	chr5	177844432	177844743	+	0	NA	intron (COL23A1, intron 2 of 28)	-intron (COL23A1, intron 2 of 28)	172969	COL23A1	COL23A1	NM_173465			COL23A1			NA
Interval_2413	chr9	79071192	79071483	+	0	NA	intron (GCNT1, intron 1 of 2)	-intron (GCNT1, intron 1 of 2)	-2731	GCNT1	GCNT1	NM_001097633			GCNT1			NA
Interval_483	chr11	93451482	93451694	+	0	NA	intron (CEP295, intron 18 of 29)	-intron (CEP295, intron 18 of 29)	-3092	SCARNA9	SCARNA9	NR_002569			SCARNA9			NA
Interval_1641	chr3	87950370	87950521	+	0	NA	Intergenic	Intergenic	-81281	HTR1F	HTR1F	NM_000866			HTR1F			NA
Interval_518	chr11	134594569	134594720	+	0	NA	Intergenic	Intergenic	288268	LOC283177	LOC283177	NR_033852			LOC283177			NA
Interval_2285	chr8	21366745	21367113	+	0	NA	Intergenic	Intergenic	211179	LOC101929172	LOC101929172	NR_104677			LOC101929172			NA
Interval_873	chr16	12471430	12471734	+	0	NA	intron (SNX29, intron 16 of 20)	-intron (SNX29, intron 16 of 20)	-342596	MIR4718	MIR4718	NR_039869			MIR4718			NA
Interval_328	chr10	82253220	82253472	+	0	NA	intron (TSPAN14, intron 2 of 5)	-intron (TSPAN14, intron 2 of 5)	-37660	LOC102723703	LOC102723703	NR_120662			LOC102723703			NA
Interval_1810	chr4	65010707	65010971	+	0	NA	Intergenic	Intergenic	264339	TECRL	TECRL	NM_001010874			TECRL			NA
Interval_2076	chr6	41984931	41985122	+	0	NA	intron (CCND3, intron 1 of 4)	-intron (CCND3, intron 1 of 4)	-33225	TAF8	TAF8	NM_138572			TAF8			NA
Interval_1445	chr20	50332478	50332683	+	0	NA	intron (ATP9A, intron 3 of 27)	-intron (ATP9A, intron 3 of 27)	52370	ATP9A	ATP9A	NM_006045			ATP9A			NA
Interval_1086	chr18	13612322	13612582	+	0	NA	exon (LDLRAD4, exon 1 of 4)	-exon (LDLRAD4, exon 1 of 4)	1339	MIR4526	MIR4526	NR_039752			MIR4526			NA
Interval_2038	chr6	16504275	16504452	+	0	NA	intron (ATXN1, intron 5 of 7)	-intron (ATXN1, intron 6 of 8)	257358	ATXN1	ATXN1	NM_001128164			ATXN1			NA
Interval_2367	chr8	124098135	124098323	+	0	NA	intron (TBC1D31, intron 4 of 21)	-intron (TBC1D31, intron 4 of 19)	13309	TBC1D31	TBC1D31	NM_001145088			TBC1D31			NA
Interval_2309	chr8	41818694	41818910	+	0	NA	intron (KAT6A, intron 8 of 16)	-intron (KAT6A, intron 8 of 13)	90742	KAT6A	KAT6A	NM_001305878			KAT6A			NA
