PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_1612	chr5	139646204	139647067	+	1672	NA	intron (PFDN1, intron 3 of 3)	-intron (PFDN1, intron 3 of 3)	36054	PFDN1	PFDN1	NM_002622			PFDN1			NA
TCF12_IP_R1_peak_1282	chr22	46635323	46636523	+	1280	NA	exon (PPARA, exon 8 of 8)	-exon (PPARA, exon 8 of 8)	10270	CDPF1	CDPF1	NM_207327			CDPF1			NA
TCF12_IP_R1_peak_1746	chr6	138057456	138057980	+	944	NA	intron (LOC100507406, intron 1 of 2)	-intron (LOC100507406, intron 1 of 2)	2456	LOC100507406	LOC100507406	NR_121618			LOC100507406			NA
TCF12_IP_R1_peak_352	chr11	36706153	36706950	+	929	NA	Intergenic	Intergenic	-86722	RAG2	RAG2	NM_001243785			RAG2			NA
TCF12_IP_R1_peak_1051	chr2	83080021	83080960	+	852	NA	Intergenic	Intergenic	-3437	LOC1720	LOC1720	NR_033423			LOC1720			NA
TCF12_IP_R1_peak_1768	chr7	16308306	16308997	+	836	NA	exon (ISPD-AS1, exon 5 of 5)	-exon (ISPD-AS1, exon 5 of 5)	58540	ISPD-AS1	ISPD-AS1	NR_038947			ISPD-AS1			NA
TCF12_IP_R1_peak_373	chr11	63349927	63350364	+	807	NA	intron (PLA2G16, intron 3 of 3)	-intron (PLA2G16, intron 4 of 4)	-19290	HRASLS2	HRASLS2	NM_017878			HRASLS2			NA
TCF12_IP_R1_peak_1742	chr6	135667710	135668168	+	790	NA	intron (AHI1, intron 23 of 27)	-intron (AHI1, intron 22 of 26)	150964	AHI1	AHI1	NM_017651			AHI1			NA
TCF12_IP_R1_peak_1448	chr4	11101585	11102168	+	768	NA	Intergenic	Intergenic	-268575	MIR572	MIR572	NR_030298			MIR572			NA
TCF12_IP_R1_peak_593	chr14	81444555	81445278	+	753	NA	intron (TSHR, intron 1 of 8)	-intron (TSHR, intron 1 of 9)	23047	TSHR	TSHR	NM_000369			TSHR			NA
TCF12_IP_R1_peak_85	chr1	93494693	93495371	+	732	NA	Intergenic	Intergenic	-49760	MTF2	MTF2	NM_007358			MTF2			NA
TCF12_IP_R1_peak_1238	chr21	39848353	39848791	+	715	NA	intron (ERG, intron 3 of 4)	-intron (ERG, intron 3 of 11)	-130574	LINC01423	LINC01423	NR_110545			LINC01423			NA
TCF12_IP_R1_peak_1356	chr3	58027337	58027988	+	697	NA	intron (FLNB, intron 1 of 45)	-intron (FLNB, intron 1 of 46)	33535	FLNB	FLNB	NM_001457			FLNB			NA
TCF12_IP_R1_peak_844	chr17	39464703	39465696	+	677	NA	exon (KRTAP16-1, exon 1 of 1)	-exon (KRTAP16-1, exon 1 of 1)	306	KRTAP16-1	KRTAP16-1	NM_001146182			KRTAP16-1			NA
TCF12_IP_R1_peak_947	chr18	74774366	74775005	+	648	NA	intron (MBP, intron 3 of 8)	-intron (MBP, intron 3 of 3)	-45630	MBP	MBP	NM_001025100			MBP			NA
TCF12_IP_R1_peak_642	chr15	38931035	38931643	+	632	NA	Intergenic	Intergenic	-57460	C15orf53	C15orf53	NM_207444			C15orf53			NA
TCF12_IP_R1_peak_1206	chr20	58700507	58701071	+	632	NA	Intergenic	Intergenic	-12759	MIR646HG	MIR646HG	NR_046099			MIR646HG			NA
TCF12_IP_R1_peak_661	chr15	58756140	58756668	+	628	NA	intron (LOC101928694, intron 2 of 2)	-intron (LIPC, intron 1 of 8)	32229	LIPC	LIPC	NM_000236			LIPC			NA
TCF12_IP_R1_peak_742	chr16	27185125	27185899	+	617	NA	Intergenic	Intergenic	-29295	KDM8	KDM8	NM_024773			KDM8			NA
TCF12_IP_R1_peak_14	chr1	12270357	12271202	+	617	NA	Intergenic	Intergenic	19009	MIR4632	MIR4632	NR_039775			MIR4632			NA
TCF12_IP_R1_peak_1800	chr7	69471277	69471782	+	617	NA	intron (AUTS2, intron 2 of 18)	-intron (AUTS2, intron 2 of 17)	407624	AUTS2	AUTS2	NM_001127231			AUTS2			NA
TCF12_IP_R1_peak_1584	chr5	109257323	109257936	+	613	NA	Intergenic	Intergenic	38746	LOC100289673	LOC100289673	NR_033175			LOC100289673			NA
TCF12_IP_R1_peak_553	chr13	111074108	111074476	+	609	NA	intron (COL4A2, intron 4 of 47)	-intron (COL4A2, intron 4 of 47)	80987	MIR8073	MIR8073	NR_107040			MIR8073			NA
TCF12_IP_R1_peak_129	chr1	160509835	160510353	+	606	NA	TTS (CD84)	-TTS (CD84)	-17042	SLAMF6	SLAMF6	NM_052931			SLAMF6			NA
TCF12_IP_R1_peak_1772	chr7	24860576	24861489	+	606	NA	intron (OSBPL3, intron 14 of 20)	-intron (OSBPL3, intron 16 of 22)	-63393	DFNA5	DFNA5	NM_001127454			DFNA5			NA
TCF12_IP_R1_peak_989	chr19	29110579	29111244	+	606	NA	intron (LOC100420587, intron 5 of 9)	-intron (LOC100420587, intron 5 of 9)	107690	LOC100420587	LOC100420587	NR_110759			LOC100420587			NA
TCF12_IP_R1_peak_1487	chr4	109280449	109280850	+	599	NA	Intergenic	Intergenic	-190537	LEF1	LEF1	NM_016269			LEF1			NA
