PeakID (cmd=annotatePeaks.pl ENCAB521XDP.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_3230	chr12	128673198	128673746	+	0	NA	Intergenic	Intergenic	-55579	MIR4419B	MIR4419B	NR_039720			MIR4419B			NA
Interval_5397	chr16	88754422	88754963	+	0	NA	Intergenic	Intergenic	-1810	SNAI3	SNAI3	NM_178310			SNAI3			NA
Interval_3672	chr14	24700746	24701067	+	0	NA	promoter-TSS (GMPR2)	-promoter-TSS (GMPR2)	670	NEDD8-MDP1	NEDD8-MDP1	NM_001199823			NEDD8-MDP1			NA
Interval_5917	chr17	57762218	57762762	+	0	NA	exon (CLTC, exon 29 of 32)	-exon (CLTC, exon 29 of 32)	-22373	VMP1	VMP1	NM_030938			VMP1			NA
Interval_12982	chr7	34787957	34788330	+	0	NA	intron (NPSR1-AS1, intron 2 of 4)	-intron (NPSR1, intron 2 of 8)	9741	NPSR1-AS1	NPSR1-AS1	NR_015356			NPSR1-AS1			NA
Interval_4771	chr16	16366521	16366844	+	0	NA	intron (NOMO3, intron 18 of 30)	-intron (NOMO3, intron 18 of 30)	-27334	MIR3179-4	MIR3179-4	NR_128709			MIR3179-4			NA
Interval_6289	chr18	3652769	3653227	+	0	NA	intron (DLGAP1, intron 7 of 12)	-intron (DLGAP1, intron 4 of 9)	49263	DLGAP1-AS2	DLGAP1-AS2	NR_119377			DLGAP1-AS2			NA
Interval_10672	chr3	178983721	178984076	+	0	NA	intron (KCNMB3, intron 1 of 3)	-intron (KCNMB3, intron 1 of 3)	-6219	KCNMB3	KCNMB3	NM_171828			KCNMB3			NA
Interval_743	chr1	117353067	117353339	+	0	NA	Intergenic	Intergenic	56117	CD2	CD2	NM_001767			CD2			NA
Interval_9783	chr22	23893186	23893490	+	0	NA	Intergenic	Intergenic	29157	IGLL1	IGLL1	NM_152855			IGLL1			NA
