PeakID (cmd=annotatePeaks.pl ENCAB506UYG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_546	chr1	178124993	178125279	+	0	NA	intron (RASAL2, intron 1 of 17)	-intron (RASAL2, intron 1 of 17)	-62008	RASAL2-AS1	RASAL2-AS1	NR_027982			RASAL2-AS1			NA
Interval_7425	chr7	50187793	50188361	+	0	NA	intron (C7orf72, intron 7 of 8)	-intron (C7orf72, intron 7 of 8)	52395	C7orf72	C7orf72	NM_001161834			C7orf72			NA
Interval_4317	chr2	65550250	65550571	+	0	NA	intron (SPRED2, intron 4 of 5)	-intron (SPRED2, intron 4 of 5)	95581	ACTR2	ACTR2	NM_001005386			ACTR2			NA
Interval_4288	chr2	61100552	61100745	+	0	NA	intron (LINC01185, intron 1 of 2)	-intron (LINC01185, intron 1 of 2)	7801	LINC01185	LINC01185	NR_033980			LINC01185			NA
Interval_4176	chr2	16907941	16908393	+	0	NA	Intergenic	Intergenic	-61033	FAM49A	FAM49A	NM_030797			FAM49A			NA
Interval_4203	chr2	27008611	27008954	+	0	NA	promoter-TSS (CENPA)	-promoter-TSS (CENPA)	-100	CENPA	CENPA	NM_001042426			CENPA			NA
Interval_710	chr1	222013174	222013455	+	0	NA	intron (LOC101929771, intron 2 of 3)	-intron (LOC101929771, intron 2 of 3)	694	LOC101929771	LOC101929771	NR_125989			LOC101929771			NA
Interval_6180	chr4	147053514	147053715	+	0	NA	Intergenic	Intergenic	-10549	LINC01095	LINC01095	NR_038331			LINC01095			NA
Interval_6911	chr6	42897744	42898061	+	0	NA	intron (CNPY3, intron 1 of 5)	-intron (CNPY3, intron 1 of 5)	1042	CNPY3	CNPY3	NM_006586			CNPY3			NA
Interval_7006	chr6	90994389	90994795	+	0	NA	intron (BACH2, intron 1 of 8)	-intron (BACH2, intron 1 of 6)	12035	BACH2	BACH2	NM_001170794			BACH2			NA
Interval_5957	chr4	23335615	23336056	+	0	NA	intron (MIR548AJ2, intron 1 of 2)	-intron (MIR548AJ2, intron 1 of 2)	128891	MIR548AJ2	MIR548AJ2	NR_039674			MIR548AJ2			NA
Interval_582	chr1	185528967	185529431	+	0	NA	intron (LINC01350, intron 3 of 3)	-intron (LINC01350, intron 3 of 3)	68421	LINC01350	LINC01350	NR_110793			LINC01350			NA
Interval_5878	chr4	331349	331611	+	0	NA	promoter-TSS (ZNF141)	-promoter-TSS (ZNF141)	-116	ZNF141	ZNF141	NM_003441			ZNF141			NA
Interval_7462	chr7	73686848	73687230	+	0	NA	Intergenic	Intergenic	-16766	CLIP2	CLIP2	NM_003388			CLIP2			NA
Interval_3419	chr17	66255160	66255539	+	0	NA	promoter-TSS (ARSG)	-promoter-TSS (ARSG)	26	ARSG	ARSG	NM_014960			ARSG			NA
Interval_7510	chr7	89809494	89809859	+	0	NA	intron (STEAP2-AS1, intron 2 of 2)	-intron (STEAP2-AS1, intron 2 of 2)	25987	STEAP1	STEAP1	NM_012449			STEAP1			NA
Interval_5674	chr3	121717264	121717462	+	0	NA	intron (ILDR1, intron 3 of 5)	-intron (ILDR1, intron 5 of 7)	23764	ILDR1	ILDR1	NM_175924			ILDR1			NA
Interval_5867	chr3	195913836	195914081	+	0	NA	Intergenic	Intergenic	24342	ZDHHC19	ZDHHC19	NM_001039617			ZDHHC19			NA
Interval_2059	chr13	50698459	50698655	+	0	NA	intron (DLEU1, intron 2 of 6)	-intron (DLEU2, intron 1 of 10)	1120	DLEU2	DLEU2	NR_002612			DLEU2			NA
Interval_6495	chr5	123370741	123371002	+	0	NA	Intergenic	Intergenic	403342	LINC01170	LINC01170	NR_125774			LINC01170			NA
Interval_703	chr1	221917137	221917683	+	0	NA	Intergenic	Intergenic	-1892	DUSP10	DUSP10	NM_007207			DUSP10			NA
Interval_7742	chr8	23076912	23077285	+	0	NA	intron (TNFRSF10A, intron 1 of 9)	-intron (TNFRSF10A, intron 1 of 9)	5582	TNFRSF10A	TNFRSF10A	NM_003844			TNFRSF10A			NA
Interval_4708	chr2	224700794	224700988	+	0	NA	intron (AP1S3, intron 1 of 3)	-intron (AP1S3, intron 1 of 4)	1428	AP1S3	AP1S3	NM_001039569			AP1S3			NA
Interval_6774	chr6	14910828	14911198	+	0	NA	Intergenic	Intergenic	-335193	JARID2	JARID2	NM_001267040			JARID2			NA
Interval_4887	chr20	35096086	35096310	+	0	NA	intron (DLGAP4, intron 1 of 6)	-intron (DLGAP4, intron 1 of 6)	6012	DLGAP4	DLGAP4	NM_014902			DLGAP4			NA
Interval_4404	chr2	101705926	101706292	+	0	NA	intron (TBC1D8, intron 2 of 19)	-intron (TBC1D8, intron 2 of 19)	61737	TBC1D8	TBC1D8	NM_001102426			TBC1D8			NA
Interval_8358	chr9	140013270	140013565	+	0	NA	Intergenic	Intergenic	-4222	DPP7	DPP7	NM_013379			DPP7			NA
Interval_1150	chr10	134350818	134351023	+	0	NA	promoter-TSS (INPP5A)	-promoter-TSS (INPP5A)	-433	INPP5A	INPP5A	NM_005539			INPP5A			NA
Interval_1351	chr11	67761389	67761632	+	0	NA	intron (UNC93B1, intron 9 of 10)	-intron (UNC93B1, intron 9 of 10)	10085	UNC93B1	UNC93B1	NM_030930			UNC93B1			NA
Interval_6709	chr6	2245854	2246090	+	0	NA	promoter-TSS (GMDS)	-promoter-TSS (GMDS)	-15	GMDS-AS1	GMDS-AS1	NR_046229			GMDS-AS1			NA
Interval_3386	chr17	59812706	59812901	+	0	NA	intron (BRIP1, intron 16 of 19)	-intron (BRIP1, intron 16 of 19)	128117	BRIP1	BRIP1	NM_032043			BRIP1			NA
Interval_89	chr1	12509674	12509953	+	0	NA	intron (VPS13D, intron 64 of 68)	-intron (VPS13D, intron 65 of 69)	-57487	SNORA59B	SNORA59B	NR_003022_1			SNORA59B			NA
Interval_3782	chr19	4153442	4153672	+	0	NA	promoter-TSS (CREB3L3)	-promoter-TSS (CREB3L3)	-41	CREB3L3	CREB3L3	NM_032607			CREB3L3			NA
Interval_5281	chr22	39925130	39925461	+	0	NA	exon (RPS19BP1, exon 4 of 4)	-exon (RPS19BP1, exon 4 of 4)	3565	RPS19BP1	RPS19BP1	NM_194326			RPS19BP1			NA
Interval_5422	chr3	20227658	20228022	+	0	NA	promoter-TSS (SGOL1)	-promoter-TSS (SGOL1)	-115	SGOL1	SGOL1	NM_001012410			SGOL1			NA
Interval_8478	chrX	57621827	57622031	+	0	NA	exon (ZXDB, exon 1 of 1)	-exon (ZXDB, exon 1 of 1)	3660	ZXDB	ZXDB	NM_007157			ZXDB			NA
Interval_2411	chr14	96000999	96001390	+	0	NA	promoter-TSS (GLRX5)	-promoter-TSS (GLRX5)	15	SNHG10	SNHG10	NR_001459			SNHG10			NA
Interval_2849	chr16	15150025	15150220	+	0	NA	promoter-TSS (NTAN1)	-promoter-TSS (NTAN1)	-186	NTAN1	NTAN1	NM_173474			NTAN1			NA
Interval_6916	chr6	43779196	43779551	+	0	NA	Intergenic	Intergenic	41427	VEGFA	VEGFA	NM_001033756			VEGFA			NA
Interval_3422	chr17	66839704	66839977	+	0	NA	Intergenic	Intergenic	111693	ABCA8	ABCA8	NM_001288986			ABCA8			NA
Interval_8109	chr9	35619396	35619591	+	0	NA	Intergenic	Intergenic	-1069	CD72	CD72	NM_001782			CD72			NA
Interval_779	chr1	236588601	236588975	+	0	NA	intron (EDARADD, intron 3 of 5)	-intron (EDARADD, intron 3 of 5)	31108	EDARADD	EDARADD	NM_145861			EDARADD			NA
Interval_2310	chr14	68752190	68752701	+	0	NA	intron (RAD51B, intron 7 of 10)	-intron (RAD51B, intron 7 of 10)	465949	RAD51B	RAD51B	NM_133509			RAD51B			NA
Interval_7920	chr8	109083547	109083747	+	0	NA	intron (RSPO2, intron 2 of 5)	-intron (RSPO2, intron 2 of 4)	12266	RSPO2	RSPO2	NM_178565			RSPO2			NA
Interval_1177	chr11	3529178	3529427	+	0	NA	TTS (LOC101927708)	-TTS (LOC101927708)	63915	LOC101927708	LOC101927708	NR_126335			LOC101927708			NA
Interval_7797	chr8	41480415	41480772	+	0	NA	exon (AGPAT6, exon 13 of 13)	-exon (AGPAT6, exon 13 of 13)	24285	NKX6-3	NKX6-3	NM_152568			NKX6-3			NA
Interval_3213	chr17	25793900	25794105	+	0	NA	Intergenic	Intergenic	-5034	KSR1	KSR1	NM_014238			KSR1			NA
Interval_6191	chr4	153558585	153558909	+	0	NA	intron (TMEM154, intron 6 of 6)	-intron (TMEM154, intron 6 of 6)	42570	TMEM154	TMEM154	NM_152680			TMEM154			NA
Interval_8101	chr9	27837622	27837822	+	0	NA	Intergenic	Intergenic	-263858	C9orf72	C9orf72	NM_145005			C9orf72			NA
Interval_3759	chr19	2266552	2266769	+	0	NA	Intergenic	Intergenic	-2825	OAZ1	OAZ1	NM_004152			OAZ1			NA
Interval_820	chr10	5882347	5882628	+	0	NA	Intergenic	Intergenic	-26975	GDI2	GDI2	NM_001115156			GDI2			NA
Interval_1539	chr12	778432	778757	+	0	NA	Intergenic	Intergenic	-5687	NINJ2	NINJ2	NM_016533			NINJ2			NA
Interval_2142	chr13	109017727	109017944	+	0	NA	Intergenic	Intergenic	95858	TNFSF13B	TNFSF13B	NM_006573			TNFSF13B			NA
Interval_3351	chr17	55532458	55532835	+	0	NA	intron (MSI2, intron 5 of 9)	-intron (MSI2, intron 6 of 13)	68312	LOC101927557	LOC101927557	NR_110808			LOC101927557			NA
Interval_3531	chr18	3178024	3178323	+	0	NA	intron (MYOM1, intron 5 of 36)	-intron (MYOM1, intron 5 of 37)	41933	MYOM1	MYOM1	NM_003803			MYOM1			NA
Interval_4177	chr2	17699562	17699936	+	0	NA	promoter-TSS (RAD51AP2)	-promoter-TSS (RAD51AP2)	-43	RAD51AP2	RAD51AP2	NM_001099218			RAD51AP2			NA
Interval_2887	chr16	24025755	24025952	+	0	NA	intron (PRKCB, intron 3 of 16)	-intron (PRKCB, intron 3 of 16)	178553	PRKCB	PRKCB	NM_212535			PRKCB			NA
Interval_483	chr1	160519198	160519476	+	0	NA	intron (CD84, intron 6 of 6)	-intron (CD84, intron 7 of 7)	-26285	SLAMF6	SLAMF6	NM_052931			SLAMF6			NA
Interval_7898	chr8	101511595	101511882	+	0	NA	Intergenic	Intergenic	60276	ANKRD46	ANKRD46	NM_001270379			ANKRD46			NA
Interval_5977	chr4	37402152	37402530	+	0	NA	intron (NWD2, intron 3 of 6)	-intron (NWD2, intron 3 of 6)	155651	NWD2	NWD2	NM_001144990			NWD2			NA
Interval_4417	chr2	107281244	107281469	+	0	NA	Intergenic	Intergenic	-196555	RGPD3	RGPD3	NM_001144013			RGPD3			NA
Interval_6511	chr5	126066871	126067146	+	0	NA	Intergenic	Intergenic	-45307	LMNB1	LMNB1	NM_001198557			LMNB1			NA
Interval_7244	chr7	915780	916531	+	0	NA	promoter-TSS (GET4)	-promoter-TSS (GET4)	-36	GET4	GET4	NM_015949			GET4			NA
Interval_4008	chr19	42618177	42618687	+	0	NA	intron (POU2F2, intron 5 of 13)	-intron (POU2F2, intron 5 of 13)	18193	POU2F2	POU2F2	NM_002698			POU2F2			NA
Interval_6625	chr5	156306678	156306987	+	0	NA	Intergenic	Intergenic	29283	PPP1R2P3	PPP1R2P3	NR_038443			PPP1R2P3			NA
Interval_7219	chr6	159537466	159537676	+	0	NA	Intergenic	Intergenic	-52858	FNDC1	FNDC1	NM_032532			FNDC1			NA
Interval_3107	chr17	1026407	1026631	+	0	NA	intron (ABR, intron 2 of 22)	-intron (ABR, intron 2 of 22)	56749	ABR	ABR	NM_001159746			ABR			NA
Interval_2181	chr14	22959613	22960323	+	0	NA	Intergenic	Intergenic	98175	DAD1	DAD1	NM_001344			DAD1			NA
Interval_1754	chr12	75920439	75921000	+	0	NA	Intergenic	Intergenic	-15301	KRR1	KRR1	NM_007043			KRR1			NA
Interval_1119	chr10	121916238	121916862	+	0	NA	Intergenic	Intergenic	198525	MIR4682	MIR4682	NR_039830			MIR4682			NA
Interval_2671	chr15	82578840	82579061	+	0	NA	Intergenic	Intergenic	23798	SAXO2	SAXO2	NM_001008226			SAXO2			NA
