PeakID (cmd=annotatePeaks.pl TCF12_IP_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
TCF12_IP_R1_peak_2791	chr11	47416024	47416770	+	3068	NA	Intergenic	Intergenic	-6124	MIR4487	MIR4487	NR_039707			MIR4487			NA
TCF12_IP_R1_peak_8419	chr19	17416080	17416876	+	2639	NA	promoter-TSS (MRPL34)	-promoter-TSS (MRPL34)	1	MRPL34	MRPL34	NM_023937			MRPL34			NA
TCF12_IP_R1_peak_10621	chr21	36280639	36281132	+	2498	NA	intron (RUNX1, intron 2 of 8)	-intron (RUNX1, intron 2 of 8)	130838	RUNX1-IT1	RUNX1-IT1	NR_026812			RUNX1-IT1			NA
TCF12_IP_R1_peak_14174	chr6	30650025	30650974	+	2484	NA	intron (PPP1R18, intron 1 of 2)	-intron (PPP1R18, intron 2 of 3)	5173	PPP1R18	PPP1R18	NM_001134870_7			PPP1R18			NA
TCF12_IP_R1_peak_5558	chr15	90358043	90358596	+	2446	NA	promoter-TSS (ANPEP)	-promoter-TSS (ANPEP)	-247	ANPEP	ANPEP	NM_001150			ANPEP			NA
TCF12_IP_R1_peak_12735	chr4	68410818	68411353	+	2292	NA	exon (CENPC, exon 1 of 19)	-exon (CENPC, exon 1 of 19)	171	CENPC	CENPC	NM_001812			CENPC			NA
TCF12_IP_R1_peak_8316	chr19	13214856	13216051	+	2247	NA	TTS (TRMT1)	-TTS (TRMT1)	-1479	LYL1	LYL1	NM_005583			LYL1			NA
TCF12_IP_R1_peak_10863	chr22	19878107	19879971	+	2208	NA	intron (TXNRD2, intron 11 of 17)	-intron (TXNRD2, intron 11 of 17)	-36577	GNB1L	GNB1L	NM_053004			GNB1L			NA
TCF12_IP_R1_peak_1612	chr10	1531183	1531742	+	2014	NA	intron (ADARB2, intron 1 of 9)	-intron (ADARB2, intron 1 of 9)	-37363	ADARB2-AS1	ADARB2-AS1	NR_033387			ADARB2-AS1			NA
TCF12_IP_R1_peak_7920	chr19	947550	948188	+	1990	NA	intron (ARID3A, intron 3 of 8)	-intron (ARID3A, intron 3 of 8)	21832	ARID3A	ARID3A	NM_005224			ARID3A			NA
TCF12_IP_R1_peak_8867	chr19	54899567	54900091	+	1942	NA	Intergenic	Intergenic	-23108	LAIR1	LAIR1	NM_001289026			LAIR1			NA
TCF12_IP_R1_peak_3767	chr12	68758526	68759516	+	1933	NA	Intergenic	Intergenic	-32860	MDM1	MDM1	NM_020128			MDM1			NA
TCF12_IP_R1_peak_11488	chr3	32442830	32443643	+	1912	NA	intron (CMTM7, intron 1 of 3)	-intron (CMTM7, intron 1 of 4)	10073	CMTM7	CMTM7	NM_138410			CMTM7			NA
TCF12_IP_R1_peak_14681	chr6	147525357	147525874	+	1824	NA	exon (STXBP5, exon 1 of 28)	-exon (STXBP5, exon 1 of 28)	121	STXBP5	STXBP5	NM_001127715			STXBP5			NA
