Chr	Start	End	Entrez ID
chr1	37498465	37498861	GRIK3
chr5	96518592	96519943	RIOK2
chr17	55037892	55038465	COIL
chr14	104387295	104388267	C14orf2
chr2	9453596	9454069	ASAP2
chr9	132586240	132586637	TOR1A
chr1	213562737	213563054	RPS6KC1
chr1	154946070	154946455	CKS1B
chr15	23811047	23811646	MKRN3
chr13	31444186	31444959	LINC00545
chr20	42086134	42087193	SRSF6
chr8	143718156	143718716	ARC
chr17	4685736	4686461	VMO1
chr11	72336789	72337737	MIR139
chr1	177150750	177151276	BRINP2
chr19	48948966	48949427	GRWD1
chr2	175191145	175191447	LINC01305
chr6	11143940	11144351	ERVFRD-1
chr21	40910239	40910903	B3GALT5-AS1
chr19	10515358	10515657	CDC37
chr11	6502375	6503047	ARFIP2
chr1	41961393	41962444	EDN2
chr4	113007748	113008144	C4orf32
chr20	813962	814827	FAM110A
chr10	134234813	134235216	C10orf91
chr16	67204423	67205294	NOL3
chr19	13162441	13162804	LYL1
chr1	33638015	33638459	TRIM62
chr20	42939406	42940298	FITM2
chr9	139980468	139981811	MAN1B1-AS1
chr3	52552635	52553330	NT5DC2
chr10	119171447	119171864	PDZD8
chr1	161500433	161501038	HSPA6
chr19	9420088	9420928	ZNF699
chr1	224691017	224691612	WDR26
chr11	45921433	45921936	C11orf94
chr8	21027016	21027359	LOC101929172
chr1	200707535	200708388	CAMSAP2
chr1	51983622	51984763	EPS15
chr3	150263851	150264791	SERP1
chr15	82944530	82945094	GOLGA2P10
chr4	175699764	175700136	GLRA3
chr14	96718487	96719301	BDKRB1
chr22	50639111	50639408	SELO
chr16	2563240	2564006	ATP6V0C
chr20	43343439	43344003	WISP2
chr3	32611891	32612919	DYNC1LI1
chr5	60139679	60140256	ELOVL7
chr10	123125573	123126012	FGFR2
chr17	63133129	63133685	RGS9
chr11	107799125	107799452	RAB39A
chr22	46067577	46068506	ATXN10
chr1	112203163	112203504	RAP1A
chr1	40235861	40236262	OXCT2
chr19	57874425	57875057	ZNF547
chr1	26662745	26663474	AIM1L
chr1	39570943	39571508	MACF1
chr18	72162784	72164255	CNDP2
chr3	50604769	50605371	C3orf18
chr17	47817031	47817598	FAM117A
chr7	120497604	120498603	TSPAN12
chr9	117077777	117078395	ORM1
chr13	36919530	36919998	SPG20-AS1
chr6	132185049	132185442	ENPP1
chr1	235267589	235267990	SNORA14B
chr1	160231279	160232835	DCAF8
chr3	185597544	185598009	IGF2BP2
chr6	34855582	34855951	TAF11
chr19	58520820	58521568	ZNF606
chr5	141392313	141392920	GNPDA1
chr20	56169051	56169528	ZBP1
chr3	50416246	50416562	CYB561D2
chr16	85732320	85732988	GINS2
chr11	63861930	63862280	FLRT1
chr16	87835093	87835756	LOC102724467
chr6	111804790	111805668	REV3L
chr1	33592894	33593326	AZIN2
chr4	174089915	174090258	GALNT7
chr14	105195433	105196470	ADSSL1
chr21	18983799	18984217	BTG3
chr3	80819450	80819931	GBE1
chr7	72745729	72746147	FKBP6
chr17	45928061	45928894	SP6
chr15	69744589	69745460	RPLP1
chrX	119694820	119695273	CUL4B
chr12	9435821	9437023	LOC642846
chr2	201662133	201662555	BZW1
chr1	28879097	28880235	TRNAU1AP
chr3	60255624	60256210	MIR548BB
chr3	185825328	185825847	ETV5
chr1	156736864	156737413	PRCC
chrX	102469817	102470166	BEX4
chr21	41795061	41795635	DSCAM-AS1
chr13	108867782	108868328	LIG4
chr17	42015245	42015817	PPY
chrX	48554635	48555823	SUV39H1
chr11	77669695	77670019	INTS4
chr19	48103382	48104215	GLTSCR1
chr14	102197497	102197799	LINC00239
chr9	130661920	130662235	ST6GALNAC6
chr16	76668492	76669373	LOC101928203
chr11	64544834	64545393	SF1
chr16	67693717	67695213	ACD
chr11	62648120	62649007	SLC3A2
chr20	57581932	57582277	CTSZ
chr20	44600533	44601455	ZNF335
chr4	47792169	47792479	LOC101927179
chr19	8436147	8436657	ANGPTL4
chr2	70995112	70995422	ADD2
chr20	62283489	62284020	STMN3
chr15	96900102	96900833	MIR1469
chr1	24104149	24105231	TCEB3-AS1
chr22	19153949	19154365	LINC01311
chr1	33626869	33627481	TRIM62
chr16	29710777	29711236	QPRT
chr19	13842159	13842987	CCDC130
chr1	226111591	226112137	PYCR2
chr20	2082132	2082922	STK35
chr20	304979	305320	NRSN2-AS1
chr3	122785460	122786281	PDIA5
chr19	1062813	1063421	HMHA1
chr6	151711018	151712505	ZBTB2
chr16	85308549	85308920	LINC00311
chr22	30987968	30988500	PES1
chr2	140622360	140622930	MIR7157
chr17	7746871	7748362	KDM6B
chr10	106440587	106441049	SORCS3-AS1
chr1	94883405	94884295	ABCD3
chr7	149321396	149322272	ZNF767P
chr3	41033461	41033999	CTNNB1
chr10	103879601	103880741	LDB1
chr10	27388879	27389936	ANKRD26
chr2	160761129	160761458	LY75
chr19	5985043	5985747	LOC100128568
chr1	17422714	17423137	PADI2
chr3	183977878	183978407	CAMK2N2
chr1	100503443	100503841	HIAT1
chr6	158652481	158652999	GTF2H5
chr12	2861714	2862075	LOC283440
chr7	116165662	116166733	CAV1
chr11	75110271	75110784	RPS3
chr1	179923347	179924204	CEP350
chr16	1270031	1270696	TPSG1
chr8	11429323	11429620	LINC00208
chr1	208041935	208042800	CD34
chr14	31889027	31890221	HEATR5A
chr10	46762585	46762984	BMS1P5
chr10	134368803	134369178	INPP5A
chr8	6624789	6625293	MIR4659B
chr7	30517887	30518780	NOD1
chr10	15387087	15387435	FAM171A1
chr6	123850962	123851414	HRAT13
chr16	46917654	46918989	GPT2
chr4	76598350	76599207	G3BP2
chr1	117909033	117910131	MAN1A2
chr17	38463129	38463643	RARA
chr22	47984265	47984731	LINC00898
chr9	71319446	71320508	PIP5K1B
chr15	30114336	30114762	TJP1
chr19	48993022	48993463	CYTH2
chr12	113014850	113015249	MIR1302-1
chr9	42341369	42341947	ANKRD20A3
chr5	90675750	90677022	ARRDC3-AS1
chr20	62190775	62191192	C20orf195
chr11	65307696	65308689	SCYL1
chr16	77756031	77757307	NUDT7
chr12	56617799	56618301	NABP2
chr14	97263420	97264230	VRK1
chr12	31565217	31565621	FAM60A
chr20	57227376	57227736	STX16
chr3	197806950	197808227	ANKRD18DP
chr3	128583818	128584525	LOC653712
chr16	11292748	11293152	SOCS1
chr1	55352422	55353446	DHCR24
chr10	44806271	44806986	C10orf142
chr3	184053447	184054397	FAM131A
chr5	176432696	176434331	UIMC1
chr17	31203455	31204676	MYO1D
chr1	234613735	234615340	TARBP1
chr11	117198276	117199031	CEP164
chr17	73126445	73126834	NT5C
chr1	159824277	159824911	C1orf204
chr5	68462368	68463159	CCNB1
chr16	57037260	57037842	NLRC5
chr17	38277688	38278489	MSL1
chr18	28019095	28019611	MIR302F
chr19	51373434	51374045	KLK2
chr11	2437275	2437607	TRPM5
chr19	41196472	41197216	NUMBL
chr22	20287227	20287774	DGCR6L
chr19	38852056	38853547	PSMD8
chr3	48229929	48230315	CDC25A
chr12	122681409	122681910	B3GNT4
chr10	43950659	43951510	ZNF487
chr10	28591660	28592221	MIR8086
chr14	77492816	77495993	IRF2BPL
chr16	58155007	58155465	CFAP20
chr1	206235796	206236230	AVPR1B
chr12	3793751	3794099	CRACR2A
chr19	51297385	51297979	ACPT
chr2	232545572	232546156	PTMA
chr9	102088419	102088802	NAMA
chr12	123849237	123850658	MIR8072
chr3	142838238	142839100	CHST2
chr10	127407783	127408533	EDRF1
chr9	103289579	103290033	MURC
chr19	58789605	58791122	ZNF8
chr1	40562651	40563367	PPT1
chr5	114598501	114598870	PGGT1B
chrX	38186099	38187052	RPGR
chr21	46419472	46419953	LINC00162
chr22	19628664	19629481	SEPT5
chr5	10307457	10308063	CMBL
chr1	19923108	19923716	MINOS1
chr4	40631554	40632126	RBM47
chr3	184870576	184871181	C3orf70
chr1	149783344	149784134	HIST2H2BF
chr4	54930491	54931228	CHIC2
chr11	117931653	117932047	TMPRSS4
chr18	46477660	46479254	SMAD7
chr20	35463946	35464410	SOGA1
chr7	87505191	87506078	SLC25A40
chr2	111877764	111881149	BCL2L11
chr19	17404878	17405231	ABHD8
chr11	10681292	10681603	MRVI1
chr7	116363935	116364508	MET
chr16	70147805	70148832	PDPR
chr11	117873075	117873655	IL10RA
chr16	2961474	2962266	FLYWCH1
chr9	136351012	136351572	SLC2A6
chr16	67193161	67194185	TRADD
chr7	766011	767003	DNAAF5
chrX	44600552	44601162	DUSP21
chr12	105837668	105838212	C12orf75
chr5	134368437	134369970	C5orf66
chr19	8580133	8580566	ZNF414
chr9	34989205	34989815	DNAJB5
chr1	51791497	51791988	TTC39A-AS1
chr6	28770403	28770916	LOC401242
chr1	38529887	38530295	POU3F1
chr17	79817825	79819727	P4HB
chr17	80709152	80710525	TBCD
chr15	40615328	40615864	INAFM2
chr17	71470458	71470965	CDC42EP4
chr19	1604911	1606210	UQCR11
chr17	18161373	18162478	FLII
chr1	165586386	165586709	MGST3
chr18	22931903	22932607	ZNF521
chr8	1649404	1649781	CLN8
chr16	1384331	1384649	BAIAP3
chr17	56416347	56416751	BZRAP1-AS1
chr13	111226458	111227021	RAB20
chr5	1111919	1112371	SLC12A7
chr14	32547114	32547650	ARHGAP5
chr10	7980081	7980529	GATA3-AS1
chr19	8399798	8400519	KANK3
chr18	5294757	5295172	ZBTB14
chr19	6199141	6200234	ACSBG2
chr20	33759498	33759903	PROCR
chr12	6493049	6493503	LTBR
chr19	12170391	12170778	ZNF844
chr11	10764250	10764798	CTR9
chr15	75134980	75135884	ULK3
chrX	153714358	153714654	UBL4A
chr20	32030846	32032133	SNTA1
chr6	130250544	130251052	TMEM244
chr22	17198794	17199353	ANKRD62P1-PARP4P3
chr8	8220201	8220691	SGK223
chr5	79552049	79552499	SERINC5
chr7	99612912	99613270	ZKSCAN1
chr6	167411934	167413123	FGFR1OP
chr11	118788830	118789170	BCL9L
chr8	38088487	38089357	DDHD2
chr17	34091128	34091770	C17orf50
chr1	249120252	249120757	MIR3124
chr14	100658780	100659660	DEGS2
chr15	29248172	29248503	APBA2
chr7	138775689	138776201	ZC3HAV1
chr8	37654299	37654597	ADGRA2
chr9	131037415	131038955	GOLGA2
chr18	43677809	43678301	ATP5A1
chr19	48613383	48614208	PLA2G4C
chr17	7790493	7791404	CHD3
chr2	234262496	234262908	DGKD
chr8	26239888	26240982	BNIP3L
chr6	130088391	130089091	ARHGAP18
chr2	239196849	239198120	PER2
chr15	101661970	101662268	CHSY1
chr8	145992872	145993819	ZNF251
chr14	55852205	55852551	ATG14
chr6	28831750	28832290	LOC401242
chr1	42921821	42922880	PPCS
chr19	13273529	13274189	IER2
chr20	58633352	58633740	C20orf197
chr22	22067226	22067709	YPEL1
chr19	8372743	8373665	CD320
chr1	3663742	3664399	TP73-AS1
chr5	149109343	149110904	PPARGC1B
chr2	28635474	28635953	FLJ31356
chr21	37757358	37758021	CHAF1B
chr1	43123725	43124336	PPIH
chr15	84976096	84977183	LOC103171574
chr15	80351247	80352519	ZFAND6
chr12	10875817	10876123	YBX3
chr9	35161690	35162637	UNC13B
chr7	139974914	139975522	JHDM1D-AS1
chr4	119756223	119756678	SEC24D
chr1	11546735	11547063	PTCHD2
chr3	125634225	125635750	FAM86JP
chr7	158799428	158799938	LINC00689
chr12	46650064	46650779	SLC38A1
chr1	9379420	9379899	SPSB1
chr3	10182936	10184024	VHL
chr15	75744049	75744941	SIN3A
chr11	48082700	48083224	MIR3161
chr2	224702161	224702810	AP1S3
chr8	1771577	1772171	ARHGEF10
chr11	118791452	118791901	BCL9L
chr6	149886632	149888147	GINM1
chr8	38239169	38240776	WHSC1L1
chr7	65540604	65541132	ASL
chr22	23197831	23198271	MIR5571
chr20	46896506	46897030	LINC00494
chr15	41245156	41245506	CHAC1
chr7	134855000	134855903	C7orf49
chr11	534642	534998	HRAS
chr1	95349130	95349797	CNN3
chr22	41346765	41347768	RBX1
chr19	38759143	38759658	SPINT2
chr1	53642014	53642455	CPT2
chr11	16635012	16635343	C11orf58
chr2	20349034	20349695	SDC1
chr2	43216555	43217197	LOC102723854
chr6	110733637	110734015	DDO
chr9	128370750	128371155	MAPKAP1
chr18	47339193	47339735	ACAA2
chr1	935361	936446	HES4
chr1	144311420	144311767	LINC00869
chr15	89390301	89390805	ACAN
chr9	88419785	88420525	LOC389765
chr2	73520577	73521192	EGR4
chr3	15106395	15107239	MRPS25
chr6	166666732	166667048	LOC101929297
chr8	126441812	126442739	TRIB1
chr11	96076425	96076833	MAML2
chr4	53525569	53525866	USP46-AS1
chr3	111805022	111805507	C3orf52
chr14	95192933	95193419	GSC
chr4	184425183	184426592	LOC389247
chr1	38397308	38398030	INPP5B
chr18	9877249	9877609	TXNDC2
chr19	55549557	55549963	GP6
chr5	69696698	69697617	GTF2H2B
chr20	48808167	48808679	CEBPB-AS1
chr1	24739753	24740366	STPG1
chr8	26429725	26430093	DPYSL2
chr1	150135352	150135825	PLEKHO1
chr18	9707847	9708338	RAB31
chr5	137968618	137968997	HSPA9
chr19	1250769	1251337	MIDN
chr14	37117045	37117373	PAX9
chr21	35133940	35134322	ITSN1
chr5	31975247	31975640	MIR4279
chr3	49141799	49142313	QARS
chr2	19505600	19506115	MIR4757
chr12	114403865	114404650	RBM19
chr12	1701832	1703308	FBXL14
chr11	3442907	3444886	OR7E12P
chr2	214016114	214017117	IKZF2
chr5	73205322	73205652	ARHGEF28
chr16	87965020	87965578	CA5A
chr15	78647454	78647939	CRABP1
chr1	226298932	226299535	H3F3AP4
chr4	8594167	8594713	CPZ
chr7	91212599	91212930	MTERF1
chr19	41059904	41060342	SHKBP1
chr4	16227316	16227920	TAPT1
chr22	20246737	20247242	RTN4R
chr1	148176285	148176836	NBPF14
chr15	45020919	45021529	LOC100419583
chr17	47754467	47756019	SPOP
chr6	134274064	134274514	TBPL1
chr2	113388634	113388944	FLJ42351
chr20	49548050	49548648	ADNP
chr7	64838536	64839370	ZNF92
chr15	75074361	75074677	CSK
chr19	15488547	15488923	AKAP8
chr17	37025134	37025504	LASP1
chr17	79093248	79093852	MIR657
chr20	47538141	47538826	ARFGEF2
chr17	79268290	79269357	SLC38A10
chr10	49348320	49348829	FRMPD2
chr15	63569289	63570115	APH1B
chr2	85580246	85580780	RETSAT
chr4	2366427	2366857	ZFYVE28
chr4	2964689	2965869	NOP14
chr10	134441314	134441725	INPP5A
chr19	18058335	18059418	KCNN1
chr10	43904153	43904854	HNRNPF
chr22	32870256	32871771	FBXO7
chr16	30968272	30969646	SETD1A
chr11	67168668	67169326	PPP1CA
